frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
480	600	17598.25071	19084.49956	18550.90011	17575.3071	16969.7973	19560.65158	19385.93564	18692.80629	22469.17979	16784.11523	21508.90234	16911.1727	20782.06197	17087.57133	20183.098	18872.729	20141.18999	22800.35146	20639.37212	22332.20703	17658.64453	19118.63904	18114.91948	20112.8	20135.04548
600	900	18019.12003	16090.84263	15712.51409	16038.29975	15321.6986	17106.6288	16227.44767	16049.04512	17156.33018	13899.29431	17103.14377	13772.02396	16797.4698	13672.05762	16510.68072	16051.12997	16583.87717	18922.32052	18527.14007	15825.47754	14809.21387	16058.10061	16641.62997	18395.18086	20332.44531
900	1200	13811.99814	13814.71533	13716.15583	13188.73122	13490.98206	13368.34297	13923.39078	13457.42197	14624.26646	13040.79156	14140.15018	12602.01138	14203.30773	12678.5346	14041.57968	13314.6797	14346.15786	15022.55212	15255.07214	14212.12988	13228.02783	14269.29006	14878.99149	15795.05352	15317.20675
1200	1500	12369.80833	11770.47778	11668.57166	11769.44646	10901.87995	12723.69544	11818.17242	12382.81102	12646.85884	12017.91608	11997.2176	11764.23813	12035.69385	11737.52713	11978.18187	12402.60336	11935.29446	14533.17786	13876.29179	13028.74219	12229.67041	12835.13015	12915.37586	14933.01816	14100.19601
1500	1800	11147.8647	10928.996	9789.94615	9561.26999	9467.98537	9516.24798	10465.98399	10206.71083	11410.59541	9071.00842	11614.30078	8785.73984	10955.85363	8863.61814	10646.46099	9641.97483	10671.11125	12178.15397	12184.38939	12276.72949	12199.09033	12349.46133	12604.24487	13206.07617	11621.72084
1800	2100	8616.69846	9978.01548	9604.06357	8763.70722	9189.94092	9114.23989	10538.59918	9104.17127	9747.00264	9898.05847	9533.4797	9599.78576	10093.12372	9536.83887	9931.82106	9087.36276	10092.11201	11003.01321	10575.89966	10654.95898	9767.95557	9995.29375	10170.42358	13058.28516	10171.01842
2100	2400	8086.18874	8947.24382	9074.54892	7895.81961	8623.49875	7715.10262	9626.44916	8364.98057	10368.63252	8235.6969	9529.39126	7937.08785	9837.15313	7943.03913	9623.14557	8081.4652	9791.14423	10078.90164	9810.06969	10732.46973	9898.43408	10284.66763	10433.92048	11814.0127	8759.42355
2400	2700	8153.36919	8872.36201	8355.29467	8072.60096	8163.62855	7989.19071	9210.74821	8908.52602	9007.26279	9108.89709	8666.79305	8942.58695	8804.55311	8985.79683	8591.24187	8647.50578	8667.26082	9318.29542	9244.78935	9777.38281	9957.49072	9838.67839	9790.90539	10847.84687	8307.67055
2700	3000	9456.51807	7401.16389	6549.17297	7427.63057	6774.83265	7269.5439	7275.42328	8531.63372	7042.25974	6587.82275	7250.92024	6233.41677	6826.49947	6385.45107	6646.93167	7834.54845	6765.37075	9484.00492	9451.46764	10842.76172	9163.75293	9931.42305	9801.15169	8870.91572	9580.01576
3000	3300	8218.45046	7296.50698	6756.02481	7849.01888	6090.97881	7753.63253	6757.98592	8019.91602	6626.54001	8421.8056	7202.74694	8344.39419	6872.01286	8478.5065	6788.32304	7965.80015	6579.41184	7768.44067	7740.31899	7520.33154	7538.72192	7721.84618	7927.131	9199.975	7827.55246
3300	3600	6625.93524	7462.89482	6174.41032	6593.35182	6155.55588	7595.71763	6871.45348	8435.26068	7214.44805	7708.94241	7078.0062	7886.09197	6949.70196	8169.36804	6498.43302	8130.98029	6474.14434	7773.27494	7366.63414	8745.06055	8436.43018	7933.1941	7532.41748	6728.03311	6920.14014
3600	3900	7014.85467	6189.329	5789.15823	6103.11209	4997.30866	6508.16678	6136.06018	7535.16259	6448.94219	5996.72754	6183.63844	5798.45369	6369.35427	6043.00732	6241.63973	7021.71507	6033.4444	7103.97745	8020.99414	7249.70312	8025.31152	8105.53158	8523.7359	5729.51465	8103.89314
3900	4200	7012.06396	4863.81116	4195.42484	5402.15926	5005.04252	5798.29677	4627.79127	7052.03092	4982.98918	4965.62036	5389.75344	4952.9366	4690.65766	5325.23166	4525.25062	6301.96173	4839.31912	7586.39338	7729.45197	7730.18555	7415.99194	7887.41528	7897.32475	6468.04287	8012.72963
4200	4500	6572.27171	4766.11099	4881.57468	5839.24442	4600.35399	6334.94046	5193.66665	7117.31692	5133.1929	4765.87297	5097.51403	4777.38364	5190.00633	5468.61119	5034.94211	6754.9824	5259.30787	6118.09873	6426.25137	5439.94629	6727.51611	7024.61271	7297.94223	5901.13164	6131.36496
4500	4800	6075.60756	5978.82214	5308.57852	5520.00204	5038.32021	5218.09491	5309.63516	5285.52018	5528.79678	4411.4503	5609.84513	4512.11168	5767.55687	4725.05161	5458.33151	5195.88695	5413.10439	4700.77797	4852.32471	5529.10596	5835.84204	5412.96504	5240.5757	4723.34346	4751.88016
4800	5100	6311.74072	3647.53567	3939.6053	4433.72184	4156.80772	4025.99115	4387.80423	4824.14181	3530.67423	3555.13245	2738.05219	3463.25954	3573.2138	3693.0624	3571.67044	4450.48496	3761.84749	4863.37032	4298.56251	4850.15869	5435.1084	4874.71086	5576.71447	5329.154	4258.37709
5100	5400	6983.70202	4261.63397	3800.90558	4689.53333	3990.21509	4242.49958	4181.67102	4647.27641	3948.34973	4583.8181	3870.93106	4068.21572	3977.95936	3933.62836	3962.10472	4687.45694	4015.07476	4713.78558	4011.80544	3750.09033	2884.92859	3304.58453	3739.61265	5134.86104	5403.75732
