frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
1800	2100	17980.71473	19163.58065	16536.02637	19712.37141	12782.48633	19979.53265	15223.58516	16342.87526	19020.78708	16735.70664	19842.75626	18512.02908	17446.42712	18302.59439	18263.34743	20486.9581	16303.63347	19323.4338	20276.98521	20512.45621	20228.07876	20891.41016	21576.43029	17583.44069	19639.21127	16893.5348	21493.21902	14527.97217	20964.96106	15971.99927	17131.83268	19681.7972	17049.59349	20073.46506	17730.99959	17971.24769	19640.45041	20384.44996	19985.80058	16930.3511	20097.84617	21054.1822	21799.7985	21286.82914	21869.94692
2100	2400	15832.89424	17583.94156	14231.66385	17572.3856	9795.2527	18314.36246	12248.94508	14021.21464	16969.68278	14851.72961	17566.11802	16718.49284	14699.33861	16199.44149	16261.45142	15780.95369	13697.84777	17913.37088	18220.25893	18194.43785	17990.26335	18118.11523	18372.21017	15420.11382	18319.44776	15033.4633	17509.31855	13866.63922	18946.45956	14960.30367	13373.3061	17308.3099	15100.44334	19215.18212	16909.73022	15028.06361	17332.36049	17395.25036	17389.01051	14188.93887	17843.3616	19566.01702	18973.10475	18803.311	19508.16841
2400	2700	12535.97226	15349.28413	11756.912	15255.70653	9632.87086	17083.1627	10825.04353	11881.9502	13700.46701	12918.00372	14473.2899	14593.90299	12298.53751	13806.23881	14615.48275	13545.29105	12634.1793	14952.19397	16383.53488	14663.64147	14928.40388	17135.55469	15984.26241	13251.25916	15292.80262	13474.73098	15853.17876	12359.32129	17714.68542	12047.27535	12139.01606	15036.13682	13417.48888	16722.12423	13959.90161	11646.76776	15598.87402	14684.79924	16290.68106	13315.44954	15833.42478	16126.78376	16650.0973	16997.37993	17696.57939
2700	3000	12254.28066	14697.08594	10990.59999	12999.8417	8045.32364	15368.54418	9077.52645	10857.85516	12214.78798	11148.66186	14265.93671	14382.70822	11211.70063	11554.57335	12982.97806	11685.3667	10610.56835	14180.64988	16032.37416	14280.23013	12877.73618	18209.80078	14896.60999	11876.69574	13756.20571	11067.49409	13181.59799	9638.08508	17624.64112	10852.87512	11054.40072	12053.01187	11180.5515	15293.31754	13321.16227	12148.26534	13240.81286	13791.34853	13246.95027	11381.39767	13986.31801	14557.9435	14355.42111	13915.46486	15555.61321
3000	3300	10004.89744	11971.74759	9289.71419	13593.16325	8337.50465	13896.52354	7930.49144	11489.37747	11390.47379	9801.01377	12706.9487	10669.95898	10691.50351	11361.25413	12477.1886	11164.55644	10232.67131	12905.58382	12531.61049	12796.48673	12198.72985	15059.36035	13027.94925	10528.45493	12384.14751	9902.06687	12017.36	8778.76654	14102.90135	8348.00064	10088.46701	11723.01036	10033.56184	12791.24248	10873.26864	11048.14826	10954.98928	12506.0763	11468.72366	10570.24411	13129.98276	13375.88895	12749.5695	12193.86211	13383.36011
3300	3600	10209.73998	11916.77671	8605.0195	9436.38244	8285.06391	13831.89345	6985.86684	8725.62628	10544.52099	9707.1006	10700.24124	10142.57086	7904.04519	9206.88004	10501.34599	9535.14458	9515.13097	11658.6623	11663.64537	11074.22261	10440.11698	13686.62109	10669.661	9027.21108	10938.07412	7677.59249	8718.0819	6723.62228	12221.17301	7338.77735	8545.23893	8708.61131	8299.0688	11747.21025	9631.08679	7755.23976	9364.00353	11031.38102	9826.67963	9302.10235	11061.60686	10943.16713	10756.86907	9916.26096	10496.75063
3600	3900	8351.40412	10481.04777	7933.65137	10371.45274	6888.30173	10574.48541	6235.78891	8424.71944	8441.10109	7890.11122	10236.9691	10397.40647	9092.23947	8501.64026	9922.58588	8901.69287	8541.33653	10126.24913	11347.83733	10261.90095	9723.33718	12840.5166	10516.55158	8986.28427	8704.45792	7975.14972	9289.09081	7704.93204	12387.65673	6936.42228	8039.13053	8157.25126	7820.94294	9698.87561	8846.95626	7218.90577	10220.93096	10135.55546	10362.79998	8939.00454	10234.07223	8557.64565	9334.4471	9201.11066	11480.49084
3900	4200	7826.31877	9468.27193	7566.96479	7920.14313	5744.03326	11742.84934	5415.73716	8269.114	8213.08634	7899.59598	9603.9884	10108.065	8072.43048	7118.12503	9436.35866	7127.58805	8123.67016	8739.87705	11146.04939	9110.4754	8197.26608	11566.86719	8330.06894	7927.3861	8448.83564	8903.94305	6895.42835	8385.28568	12994.86582	8098.16874	7260.71061	7935.83213	7407.08382	9707.98633	9307.65694	7408.79932	7301.01899	8734.53623	8110.36869	7478.50886	8500.60996	9041.59473	8905.46703	8568.41147	9618.57726
4200	4500	7961.77356	7243.34357	7291.506	7174.14163	5989.62109	10981.15078	4431.07951	7133.82481	6767.03056	6404.76697	10103.79594	6824.90408	6991.68014	6696.63525	8584.27579	6367.1549	7042.5769	9763.91159	7372.97238	8121.27846	6936.25532	10770.42969	7954.1957	7184.9971	7163.97295	6879.59673	6973.50966	4330.80109	10389.60134	4121.87898	6401.05463	6547.95511	6292.74272	9260.33527	7361.92794	7388.42412	7221.30979	8724.18003	6861.65128	6785.20441	7546.64006	7004.94071	7913.99057	7214.94309	9092.24606
4500	4800	6902.27541	6834.23624	6360.77584	5575.32728	4573.15631	8066.49286	4187.86993	4939.12595	4890.17131	4943.16658	7910.49953	8144.15218	4511.53557	5219.51743	5946.5806	5835.00117	5671.20812	7747.91369	7759.92683	7096.921	6373.08575	8833.84473	6809.45937	6422.82386	8912.72897	6608.7933	6994.83441	5225.31006	9101.30568	4497.26591	5622.39209	6942.60856	5999.72885	8349.76614	7696.83561	5558.25947	6068.27981	7409.16527	5693.84482	6540.07373	8606.74158	10339.77469	8085.0477	6784.61617	7143.72675
4800	5100	5893.62322	6997.01743	5312.58237	6177.36593	4856.45535	8560.11899	3761.63596	5523.08761	6214.18738	5671.18258	5940.46798	9586.07064	4525.50434	5596.64747	6366.0865	5792.21486	6213.25048	7998.91022	8003.72531	7934.16653	7321.85533	8513.875	7356.3844	5053.532	5613.64784	5258.46014	6436.52026	5274.47678	8654.00818	5019.44006	5796.79009	6234.70336	5273.12626	7086.40768	7202.72754	5753.30189	6130.19803	6990.38633	6462.53783	6239.69129	6815.7159	6288.41867	8176.26254	7355.18217	7999.66176
5100	5400	6363.40323	6418.2364	5271.3584	5007.41412	4079.94482	7807.95315	3421.24915	2983.27546	7265.53049	5924.03066	6705.47478	5335.43739	3239.70144	5945.03904	4747.74703	4935.8912	5326.81696	6969.95372	6026.52944	6474.29151	6728.56414	7794.03906	6562.99911	4820.89816	6724.81343	4605.37041	5587.75146	4116.96873	8167.9725	4601.60513	6027.27588	5098.57922	5166.90998	7428.62714	6009.6601	4354.48535	5106.78103	7653.31118	6381.31824	6251.80652	6772.23113	7142.60477	6518.8423	6083.52855	6480.06088
