frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
480	600	22322.1115	20840.19531	22108.61293	27621.29827	24440.26118	20371.73123	29188.94927	24796.29897	28870.35801	25159.97168	22498.80415	21367.01119	25446.58443	29160.50283	24007.12011	28315.62147	25059.21282	20924.54199	21184.22938	24178.68639	27695.30481	26390.0669	21820.95292	21116.6624	26490.9084	29407.55748	25020.86887	19843.87755	31611.09711	24982.84946	31194.06201	27435.43675	19863.71628	19606.35856	25116.43555	26473.62037	32057.97727	23142.30861	30021.84688	27879.78039	21498.13913	21563.60352	23998.86011	27486.14285	20887.01367	25687.0326
600	900	18813.11684	18497.74446	18652.24192	24154.70297	19484.52973	18492.89924	21197.98261	21104.76228	24918.74486	20890.90783	19739.75997	17452.02042	22535.43706	24512.54598	20254.77563	23555.36331	19742.90177	19142.73555	18796.38976	21686.28146	23214.14204	22889.69414	18906.83358	20044.43545	20877.40996	24910.24007	19304.39804	17447.53826	23872.93809	17956.11366	25747.08553	21826.21963	17747.93547	18375.93937	24367.98828	20969.38597	25789.29771	19278.98264	23631.89553	21186.7052	18785.35232	20942.07617	21995.84173	23647.22638	17958.77539	22027.95569
900	1200	15208.24625	16950.60026	13042.23251	18346.32905	13310.54557	16331.04535	14647.0794	14925.42208	18088.10671	15800.79034	16520.4163	14591.61337	14823.89265	18476.57012	16666.50899	17771.98781	14486.77769	17616.22377	16813.90864	18313.54647	18647.77172	18621.69513	15883.5301	17601.3025	14694.58105	18603.12258	13666.42529	15988.209	16357.00243	14309.46417	18977.0473	16015.61806	15870.03963	15801.73332	20451.00195	16552.24543	18274.71667	16879.95176	17799.09199	15096.99812	17606.01443	18363.30996	19021.77303	19434.07194	16365.44434	18685.31996
1200	1500	13652.18948	14350.40141	10327.06046	14875.56915	10597.3227	13635.83243	9723.45494	11462.62381	14318.26445	12371.21668	14180.08054	12887.61772	12549.42582	13909.24863	13302.18842	11773.0326	11124.24556	15762.89065	15042.67285	16095.35477	15258.37118	14896.92162	12887.02047	13808.539	11822.59844	15578.47211	10586.47181	14749.6748	11006.4479	11281.68742	14702.72674	12624.34792	15641.07967	12448.25081	16010.07812	12020.94778	15247.90231	14884.06054	13924.41638	12130.61721	15845.77386	15769.33262	16392.04919	15325.78825	14552.39844	15695.54986
1500	1800	12314.19317	13028.20785	8895.63308	11932.71269	8396.89985	13475.29063	7084.84252	9850.31299	11815.4941	10648.33046	12175.93938	12429.45384	10124.95593	10421.10374	11706.68441	9668.16934	8724.54567	13602.84977	13604.57704	13464.83145	12387.84802	12585.89668	11987.00763	14109.57517	9800.37656	12091.94765	8396.80711	14097.06599	8379.54489	9455.94193	11906.18386	10433.36073	13174.47522	13625.56079	14488.36621	9573.58687	11377.60109	12213.08365	11025.69258	9385.43994	14575.79916	14891.26182	14127.20722	12953.44738	15573.4541	14048.55899
1800	2100	9919.81381	11372.60319	6909.35245	10133.38804	7045.64263	11502.21603	6788.97065	7880.17139	9862.35066	8740.86866	11454.7289	11101.72053	9024.16921	9429.26878	10504.16419	9059.14695	7974.56543	11803.2009	12386.56717	10877.73948	10859.99494	11612.1057	10247.56805	11537.16288	8106.20791	10922.32448	6551.13756	12246.186	6761.56189	9110.78703	9807.34138	8610.50182	11904.64377	10142.68188	12168.86914	9255.90724	9401.78031	10698.32774	8858.11803	8258.77993	12473.18874	12382.96738	12077.70175	11102.20437	13001.42188	11722.24852
2100	2400	8634.81191	8995.92741	6414.25502	8784.72981	5640.96994	9864.02297	4686.69706	6713.64401	8984.4358	7727.02079	9476.88166	8744.85369	7406.57129	7672.75558	8899.30756	7269.21147	6665.43628	9922.56988	9980.98405	10372.95169	9661.80443	9558.96287	9463.34317	10442.70464	7671.63823	9297.1993	6363.8946	11339.63432	6094.55562	7442.90741	8858.84904	8127.85716	8570.14236	9898.74634	10472.93457	7663.10895	8973.72115	9229.07796	8359.54076	7140.55761	10859.42498	11344.46133	10643.11293	9703.64357	12069.66504	10860.66773
2400	2700	7558.32435	8264.38109	6076.40949	8588.2693	6051.58805	8763.10097	4756.36355	5594.3743	7259.20221	6718.23486	8559.54636	8236.48979	7404.55392	7467.59518	7385.84797	6736.39817	6697.65987	8902.40026	8256.40576	8845.85564	8116.24971	8421.11783	8614.16621	8614.0782	6491.25142	7282.92258	4748.31606	10249.73954	4983.04003	7247.2097	7869.04287	6585.91397	9408.17546	7793.62195	8830.15039	5787.78197	6808.26071	7856.48428	7824.31998	6087.26995	9839.22942	8816.6686	9402.44785	8756.79743	10173.77441	9573.94345
2700	3000	7086.77752	8703.68945	5316.43825	7357.19426	4346.72845	9247.74015	3761.85105	5766.26346	6178.41325	5991.6041	7824.02875	8219.48713	5771.70053	5860.54408	7251.29251	4884.34136	5435.59977	8470.78998	9074.73687	7455.10677	6902.14669	7352.71176	6727.7809	7358.02684	5444.98171	6731.93621	4515.39	9345.35624	4384.65322	5092.5391	6821.98524	5954.81994	6924.09399	8131.24044	6131.63818	6055.68811	6362.05016	7185.89519	5662.62411	5965.18242	8854.16776	8378.3042	8011.97673	7464.94817	10556.76465	7630.42571
3000	3300	5492.89364	6262.5857	5021.82537	6151.97585	3923.2262	7296.29671	3334.24654	4748.81578	5332.68053	5457.38448	5593.7373	5393.127	5690.85434	5478.91367	6546.51249	4628.19187	5043.23266	6464.99601	6388.25304	6453.5071	6024.90032	6916.94775	6362.05071	7380.65034	5023.04983	5901.03147	4003.5519	7225.22042	4182.30188	4738.94852	6156.39775	5714.62596	7043.97098	6356.48523	7869.38721	5284.6827	5535.08393	6428.63086	6170.72318	5251.30527	6926.22669	7633.44546	7027.00669	7115.96525	9144.62695	8152.91415
3300	3600	5278.69922	6283.02003	4426.45295	6800.23854	4054.5414	8009.68497	3158.78858	5237.75052	5016.04196	4720.84531	6649.0556	6011.78276	6184.50286	5230.48537	6100.40693	4938.52149	5341.4474	6346.74726	6698.53657	6405.71298	5954.8038	6409.89864	5613.59214	5811.42068	5461.84951	5815.43178	5067.59295	7684.99454	3662.82398	4203.00578	5124.76728	4902.98461	6625.85229	5959.889	4469.59668	5377.35383	4957.00275	5663.39114	5878.81826	5086.30188	7012.16943	6474.49727	6438.30806	5965.10715	11397.90625	6937.46157
3600	3900	4713.56224	5771.96608	3557.00741	4035.41711	2446.42573	6091.57405	2758.97477	3396.05882	4397.14392	4066.36583	5395.82991	6242.79705	3401.26623	4452.45011	4543.73386	4750.15705	4204.73379	6967.29187	6220.55919	6048.02454	5326.3928	6238.11644	4955.69544	5710.93351	3608.90349	4038.12601	2855.24653	6203.26399	3245.34354	4398.07606	4705.66351	4331.86429	5913.97247	5510.26192	5481.69336	3568.31705	4174.84381	5856.05256	5548.74812	4373.46666	6504.03471	6027.04292	6121.95567	5552.38212	10535.01367	6816.95476
3900	4200	5352.41614	4819.07719	3637.44842	4517.33363	3001.02519	6333.26399	2321.78981	4125.43441	5156.25982	4269.68776	6211.79461	5079.57275	3801.85339	3561.79723	5404.4504	2683.35994	4159.45002	4515.95861	4786.38037	5306.51032	5130.99472	4961.74445	4298.30468	4957.74055	3416.59312	4789.88227	2859.75901	6530.63787	3438.92041	3869.49761	4148.51452	3977.97562	5622.44386	5196.70048	4606.72607	3442.56958	4073.40491	5518.06124	4509.79295	3657.54932	4732.39256	4620.84688	4821.73212	5149.89673	6825.6001	6304.86821
4200	4500	4638.50707	5897.92945	2887.81119	3882.5894	3448.24828	5109.11442	3159.41379	3468.62718	3722.08789	3959.82517	4850.95751	4748.93666	3142.08082	4172.33759	4372.70193	4229.30961	4771.19388	4786.81551	5104.79102	4578.20936	4789.62714	5663.47166	4896.98746	5257.30587	3695.48101	3626.94717	3698.4727	4981.22298	3238.65508	3874.41466	4577.49892	3887.30797	4867.52573	5944.46021	5685.75537	2942.31426	3820.42325	4305.25835	4678.16932	4378.8987	4880.40535	5811.99844	6106.80584	5473.68578	7823.35938	5849.74203
4500	4800	4852.09464	3459.85104	3208.99308	3414.36378	2380.61747	4871.02695	2362.5939	2907.26576	4103.69957	3575.38084	3353.21767	3562.08367	2483.75623	3403.44435	4682.81057	3528.96634	4161.94197	4304.59447	3263.50049	4708.98499	4584.80993	4624.10523	4465.54833	3260.59192	4433.36968	4803.44286	2719.93353	4262.10211	2893.87521	4136.38578	3340.69404	3572.89347	3496.98137	3920.30969	2435.07764	3974.53805	3999.87908	3646.89921	3773.59949	3984.62692	4104.40903	3466.16255	3961.83515	3803.16232	7540.54248	4905.35857
4800	5100	2621.47427	3382.05909	2901.45842	4164.68966	1979.65434	3387.74649	2404.58726	2178.65575	3256.93398	3116.05825	2795.57416	2708.51165	3168.00283	3333.91592	3516.79942	3029.49411	3585.64363	3692.23312	3894.69086	4017.53332	3727.68267	4408.95653	2376.3665	2827.56391	2139.51132	4011.0435	1935.12731	5897.54546	1925.89097	3363.22138	2867.11628	2627.86097	4558.09875	2618.76939	2968.6167	2567.52625	4231.2488	4686.78938	3990.64197	3660.77352	3577.90288	3072.99497	3484.64505	3270.17386	7721.5127	4565.40915
5100	5400	3173.3349	2836.35796	2945.32358	3556.53248	2087.80316	5622.4663	2251.88132	4052.08383	3900.78466	3115.53225	3653.55324	2445.44538	2774.31071	3423.06015	3960.43942	2480.96097	3105.37182	3260.46307	2557.16113	4701.4382	4353.24744	3703.3666	3021.92379	3284.33726	2663.78452	3124.29096	1483.36182	4974.02189	2177.29155	3216.40445	2232.62261	2221.89773	3922.34341	3340.67306	1654.19714	3406.99119	2336.34985	3465.27366	2740.32861	3127.73001	3992.35773	3070.87686	3625.20249	3582.43113	4897.729	3747.38662
5400	5700	4580.95792	3875.9941	2734.53584	2521.03239	2089.23522	4150.34711	1806.81813	2304.48569	2746.28582	2778.0121	3081.03402	3231.48056	2125.26801	2775.78197	3439.90242	3546.75393	3222.65533	3762.62659	3028.38661	3295.00341	2942.69322	3799.90275	4149.35625	3417.31228	3119.49901	2526.54546	3651.01207	4884.69237	2733.48957	2345.14577	3751.63919	3018.6302	2913.15654	4093.13538	4109.43799	1749.82389	2880.93617	3408.15743	2523.56856	2805.20802	4323.88265	4543.70469	4912.96474	4479.82486	5430.84033	4267.05841
5700	6000	2338.14119	2542.67642	3285.84148	2490.25583	1826.14983	4563.71464	1708.18624	2684.37558	2547.92513	2981.85623	3451.16678	2087.67219	2619.53508	2864.09309	4219.26667	1993.5681	3213.08922	3067.49938	3195.02102	2812.18057	2624.21924	3144.28206	3423.73289	3646.82066	3308.33196	2239.54458	3032.69778	4873.22693	2092.625	3923.60964	2872.50336	3153.59299	3938.47942	2168.89911	4235.9165	2566.90056	2372.61018	3934.96791	3640.52593	3431.42873	3524.07091	3080.009	3816.46705	3010.29423	5234.68945	3232.40605
6000	6300	2901.34004	4196.68103	2968.52883	2388.42563	1864.71246	4336.08181	1937.72434	2192.34995	2878.23274	2582.86473	2100.72874	2884.80595	2859.0807	2621.80974	3581.98555	2499.41169	2411.74864	2728.61236	4300.99284	2845.6711	2640.71505	3350.12124	3297.80013	3944.27598	1932.47523	3048.10401	1772.57163	3720.56664	2940.48943	4602.95638	2725.29388	2780.17364	2807.27252	2575.02955	3463.78955	2551.61232	3684.03219	4528.9208	2207.58095	3511.3585	3746.06923	3681.83848	3137.87161	2929.29381	5227.41455	3502.513
6300	6600	3254.52394	2707.66886	3233.9722	4104.90029	1412.32598	3374.49617	1518.18641	2850.01788	4185.73886	2673.38018	3203.26549	2843.70426	2853.2815	3565.72912	3589.16172	2701.44053	3586.7234	3468.69787	2370.69724	2885.2022	3718.55409	3574.09018	3709.87823	2694.7223	2657.52617	1304.389	2652.83339	3958.79206	2105.57256	2905.78964	2732.92801	2054.47285	4024.06767	1975.97032	2820.85693	1496.35644	2095.36011	2340.06082	3215.27967	1918.28967	3494.31934	2369.83994	2557.08593	2444.31562	6935.10938	3574.33643
6600	6900	2047.94549	5410.88346	2201.42954	2677.06714	1317.68489	4435.73937	2053.30548	2954.90033	2218.25865	2170.18313	2042.67763	3977.73638	2665.35593	1533.54858	3605.81996	1230.09893	2207.74571	4589.36732	6350.06562	3154.78966	2894.31535	2878.88293	1419.10289	1794.6114	2356.23728	2287.24265	2376.14054	3161.87523	1941.97327	2085.28296	3082.39249	2182.71533	3270.73935	2137.56003	2088.51123	1633.8164	2778.66156	2812.97169	1479.46665	1946.87152	1739.56341	1502.9696	2199.80027	3047.24141	6941.46484	3083.26482
6900	7200	3099.82298	2235.75025	4209.41704	3317.25053	4593.92548	3706.08799	2077.82696	2730.6691	3202.44281	3254.67276	3194.64854	2339.90864	3084.2318	3234.49614	2942.41082	2638.62065	3301.0935	2623.5282	2181.99144	3778.5325	2883.0264	2842.00124	2597.25517	2786.72253	1720.61403	3242.29345	845.35047	3108.43523	1339.885	2128.11325	2290.62539	2635.28131	2680.30483	3404.05219	3405.53125	2790.18444	2905.35877	3845.42088	3948.62765	2838.03356	3337.09063	3161.53792	3158.60423	2078.81731	6589.50928	3892.91416
