frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
480	600	22109.12464	22382.74766	21031.94555	19852.41895	20849.72373	21413.64796	23108.88758	20377.99885	23801.43662	17704.13898	23392.47138	17713.7207	23504.12425	17796.70274	22751.22116	20474.16178	22952.87803	23202.37194	21915.90771	20170.32031	17505.60059	19970.50471	20447.75809	21510.99023	23388.07952
600	900	21112.23935	19355.31484	19589.12872	19422.52625	18192.37826	20300.19141	20360.60647	19069.7945	22355.08916	16824.33026	21251.61625	17320.65561	21121.51886	17430.42527	20694.0293	19339.91994	20777.1085	20595.11889	19938.20883	19277.10156	16223.66162	18222.50642	18400.60918	18291.62227	21604.31752
900	1200	16490.06286	16136.03442	15497.97889	15262.23015	14703.92969	15758.10553	16225.08601	15031.26948	17597.62754	13730.02155	17058.62589	13653.07257	16753.37151	13508.44085	16303.06336	15014.09223	16392.28213	17333.77869	17597.18039	15561.06543	14809.69727	16406.10188	16995.42095	17950.73672	18444.71484
1200	1500	14019.96502	14092.52876	13325.57738	13022.09967	12860.00107	13520.54058	14024.04551	13312.29655	14657.21396	13062.45795	14358.2413	12704.61542	14107.54718	12611.04093	13964.83192	13280.58963	14082.77305	15682.77453	14569.99115	14166.26855	12485.41895	13284.03906	13338.26741	16005.96289	14843.71387
1500	1800	12747.09135	13213.2625	11813.25414	11896.76152	11123.12904	11901.18214	12633.2951	12035.98351	12667.96011	12576.47375	12873.37445	12143.82073	12688.24677	12074.08564	12207.1929	11929.05278	12139.04907	13881.99237	13527.41096	13198.9834	12098.00342	12924.31875	13381.68878	15493.14297	13292.75656
1800	2100	10664.64036	12570.72461	10704.5173	10258.86285	10375.88841	10411.14186	11848.33757	10676.87099	11460.15063	11339.98175	11890.38944	10900.95147	11669.36621	10666.05053	11280.95088	10469.77828	11272.7208	12756.94661	12108.62534	14185.30078	12773.05615	12377.54275	11647.14305	12627.68438	11192.97168
2100	2400	10683.31419	10429.21245	9237.96638	9770.61004	8945.66104	9789.85751	9777.33564	10475.66885	10184.78193	9334.80365	10381.70461	9228.91797	9969.97855	9541.88099	9457.32634	10020.98537	9609.97007	12082.95444	11226.77823	11908.34961	11932.86914	11545.75342	11542.00201	12091.99102	10471.48577
2400	2700	8876.93306	9755.81265	8921.57603	8256.53379	9039.41667	8180.34191	9899.2133	9292.2324	9455.70181	8782.18555	9449.076	8568.59026	9524.11786	8699.97936	9118.08034	8692.21676	9440.04324	10654.00564	9897.16111	12080.36133	10741.97119	10377.98259	10073.24802	11062.73633	8933.16532
2700	3000	8614.15257	9066.34944	8640.80087	8213.56095	8251.01465	8305.89838	8958.89571	9340.65971	10481.00981	8771.28506	9611.2759	8406.44704	9411.73693	8584.607	9241.06063	8830.45597	9404.1835	10687.97755	10829.89534	11087.07129	11148.64014	10988.33684	11164.60017	11274.52383	10230.93136
3000	3300	9454.97164	10487.06321	7994.94834	8225.81048	7938.35332	8152.54945	9619.26753	9520.69725	8389.53743	8865.93259	9216.85712	8556.08286	9318.38706	8768.64037	8399.18236	8884.76914	8763.53722	9383.9409	9532.96534	9579.64746	9849.31396	9837.03608	9798.33345	9208.16309	9345.14537
3300	3600	10421.33842	8400.35645	8851.46552	8948.42373	8574.25096	8592.65275	8634.56955	9191.89061	8053.62268	8417.89288	9083.94327	8114.9781	8832.29079	8282.81658	8824.61363	8935.68096	8869.06133	8230.45067	8139.65099	8090.33105	9476.69824	8847.41534	9163.45509	8024.3082	8963.72008
3600	3900	7628.96147	7195.81833	6785.90446	6798.22234	6690.09438	6468.16252	7321.21768	8126.66144	7988.377	6599.47458	7371.23699	6176.40738	7203.47363	6397.42092	7074.70746	7359.08195	7226.52322	9312.30001	7856.25307	9932.5	10500.00781	9342.67648	8769.89062	9522.37031	6440.44761
3900	4200	6978.83159	7884.6001	7311.36842	6557.48831	7508.83926	6857.61766	7445.11335	8303.78376	7513.45542	7767.74448	7650.98384	7243.9049	7520.11022	7498.96317	7369.4757	7721.06338	7356.68403	7869.24246	7995.58098	8324.63867	8587.25293	8151.2667	8164.10499	8633.74473	7731.57889
4200	4500	6124.47474	7390.69119	5875.24289	5491.21341	5584.10264	5804.43449	6665.79251	6062.5438	8104.6873	6406.47989	8081.84413	6174.43726	7244.91418	6178.32379	6797.35593	5978.98822	6757.28883	6685.81808	6078.48719	6756.88086	7401.74829	6360.94539	6475.64142	7735.56621	5921.25865
4500	4800	6850.4842	7446.80728	6368.26358	6004.46902	6948.58433	5643.95307	7419.81741	7101.44864	6736.72834	6056.72684	6677.98707	5991.27301	6987.67542	6503.51346	6336.0199	6678.45223	6884.55721	6266.61105	6355.11748	6570.69092	7378.02856	6881.52932	7220.98934	8592.14629	5565.32136
4800	5100	7508.08057	6271.4342	6512.0006	6503.20307	6778.75547	6994.08247	6947.77736	7574.52273	8664.61567	6087.40497	6989.13207	6171.01878	6842.09875	6353.798	6784.74405	7292.43254	7128.85273	6028.5097	6280.12856	6843.37158	7640.47729	6336.71045	6073.57218	4450.61348	7292.15604
5100	5400	6693.83456	7764.72722	5886.83203	6297.72365	6342.84886	6306.81458	7398.51544	7494.90519	7511.09631	6799.23288	7470.97517	6636.70761	6801.76046	6821.91801	6202.13877	6800.30505	6722.30165	7494.66181	8009.73015	7762.35107	8811.55566	7933.48782	7406.55889	7197.12471	7447.31808
