frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-Pt	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
480	600	28139.00382	29803.59902	34364.45583	32122.26328	32749.78917	23085.9538	34087.55076	24702.83789	37786.24492	34316.49691	23465.95857	27524.28678	27224.6957	34069.87891	36314.48004	27328.71019	32804.14698	28538.25035	25803.00416	28701.89648	29904.49291	31615.63579	26573.09896	31746.56314	28125.80231	29673.60095	33128.33822	34885.46682	31283.3763	25096.32057	33866.92169	26032.24232	35342.23264	33183.30851	26137.00653	27058.51855	31256.68568	36935.87923	29304.48766	35330.5748	30775.5546	25865.71613	28638.1959	28937.03336	31789.60721	32718.9
600	900	25014.07576	25914.37943	27322.2485	29322.0219	25553.57216	21286.96241	27773.4572	22706.46257	31778.45544	27986.45122	22740.35187	24660.9694	26882.69602	25955.86914	29830.32129	24364.87281	28073.3891	24536.49837	24235.77869	25558.22656	27520.01025	29167.48247	23834.07617	28032.36113	23774.69378	26555.48499	28224.65625	29032.63711	27078.45747	22270.56161	28508.04408	21429.20156	31846.67607	27847.69445	22506.63785	24975.86258	26755.69972	30141.36832	25176.16014	29507.61212	24535.22312	22982.86953	26503.34258	26513.71805	28803.02415	28741.13888
900	1200	20177.62228	21083.55286	20293.79267	22134.58993	19154.3016	17836.0407	20486.20767	17419.77645	22635.55351	20461.03579	17505.8739	21618.31706	20835.14434	18789.34375	22773.15099	19142.50214	21617.3577	18838.71577	20408.24746	22112.27539	23246.90608	22968.35453	21044.96224	22411.366	21017.76088	20492.36916	21463.79004	25299.45033	20884.89041	18263.02419	21216.92012	16893.90736	23345.41935	21339.30387	19025.43187	18818.64732	23149.85867	22881.96306	20252.89188	23358.23152	18780.73422	20064.28388	20059.77109	22910.30397	22954.52512	23422.55894
1200	1500	18452.48275	19484.29856	17455.58398	18985.20116	16264.46032	16018.14374	16785.44808	14958.19686	19367.34425	17709.24809	16006.77827	17295.73454	17740.6832	17133.73828	18283.32641	16894.10496	18124.26566	15671.37613	18281.33218	19377.91172	19562.88246	19533.63869	18522.82747	19419.15165	18105.44383	19176.23125	17657.9082	20347.02225	16910.19434	15904.92406	17568.07413	13633.98223	18835.62773	17148.47273	16589.16901	17049.61509	18054.65881	18304.81193	16680.62261	18315.92413	15339.87242	18439.71171	18942.32734	19225.07862	19751.12424	19673.4194
1500	1800	14721.2702	16026.71362	15400.28178	16296.12682	13344.85459	15213.75922	14815.76174	12529.30656	16738.97419	14922.5794	14180.17868	15717.17773	15278.55975	14605.63281	14829.59643	14098.77352	15880.59862	12409.82514	15402.51043	16847.55215	17313.15219	17345.61762	17198.34115	16852.7332	15040.98276	16745.48083	14955.85579	18046.7133	13955.57758	13834.48427	15509.18537	12464.75365	16360.0257	15060.04248	13692.33171	16368.93548	17044.97109	15003.10875	15058.12987	15815.9363	13639.19673	15910.20596	17188.67012	17800.79336	17896.54463	16935.39928
1800	2100	13517.86233	14404.53638	12221.87973	13744.96555	12695.69033	13049.26555	13222.9887	11033.25	14247.64334	12742.6507	12257.98819	14256.86458	12909.26873	12255.56836	13529.04063	13011.93071	14185.86229	11590.79248	15145.8568	15258.49082	15520.28043	14874.27416	15466.82454	15138.63875	13523.62671	14155.20618	12637.79606	14569.86505	11132.88525	13125.04696	12085.22211	10829.97311	13482.64068	12755.8077	13099.92203	12095.33357	13235.51014	13206.93024	13409.66538	13299.48386	11965.25295	15228.23014	14775.65859	15317.22318	14608.71263	14794.42503
2100	2400	11846.04002	13072.58874	11277.40219	12243.62813	10455.29364	12099.03497	11877.67256	11672.97925	11608.53991	10994.21404	12737.30345	12581.61117	11917.96529	11434.95898	11184.21339	12114.46484	12312.9954	10221.98285	13152.97965	13803.1459	12785.47587	12681.1787	14029.31868	13184.40621	11817.69505	13798.37095	11485.19255	13246.71795	10877.48893	11006.82326	11217.4383	9607.43477	12909.61805	11540.99367	11172.94136	14249.86844	12347.95297	11482.31961	10796.75243	12080.14076	10753.70188	13579.82801	14795.82051	13996.99297	13883.85788	12546.0458
2400	2700	10855.99051	11566.33819	10619.71131	11567.37613	9552.38667	10996.71645	9749.57684	9025.52698	10582.02219	9983.50966	10279.21112	10912.90039	11278.65406	10239.47363	11092.46144	11118.2351	11126.85986	10207.34074	11615.93695	12384.89453	11553.78817	11554.51739	12952.9681	12278.33214	10986.58879	10673.2779	10062.29061	10762.16564	9871.95909	11202.98241	11315.26901	7878.17438	11586.61227	9964.95959	9804.22608	11282.52699	10079.31786	10479.48357	10201.05184	11140.93796	9398.38701	12600.78177	10947.07949	12530.55683	12273.66025	12074.17849
2700	3000	9378.66232	11594.01897	8459.81288	10122.86068	7993.16769	9778.27063	8762.06776	7504.35775	9585.22593	8823.92058	8740.8478	10706.38379	9259.87854	7307.0957	8962.30589	8788.59986	11006.30413	8299.5565	11241.03673	12100.01641	11330.14964	10831.08138	11040.51465	10212.35222	9936.61645	11489.43548	9221.62638	10944.04383	9224.85015	11004.82531	9411.14227	8364.47624	10175.30954	9358.18524	9308.7832	10029.89139	9553.30651	9882.05725	9957.10174	9898.8496	8622.00651	11246.42944	11512.79639	11110.90432	10633.15715	10901.27423
3000	3300	8648.84724	7797.33314	7672.89002	9850.21112	8114.03922	9830.89783	9671.84758	8121.74756	8822.0893	7899.0992	8673.499	7571.2474	8607.39862	7728.87305	9011.93649	9308.26859	9091.7231	7905.0125	9982.72008	7776.45713	9848.01878	10203.60606	10445.53288	10068.8458	10763.85644	9920.87504	8223.94417	9690.35761	7594.06307	8794.01017	7752.9644	6753.36309	8703.02891	7861.28251	8194.34637	8364.92282	8805.79799	7589.2669	8218.53387	8410.36587	6800.06523	11360.0861	10682.5502	11180.52209	10066.04884	9883.37187
3300	3600	8588.38149	9204.33878	7383.70282	7342.47749	7269.45621	9914.67205	7170.91581	7141.81006	7578.53581	7274.4249	8132.44819	8119.30892	6128.59079	7544.75488	8453.64341	8606.57624	8646.25561	7648.93979	9142.76644	8548.70605	8587.85874	8453.27195	9981.17643	9070.30979	9647.30198	9926.69417	8399.29435	9194.14335	7884.62861	7907.03635	8786.28022	5900.05716	8561.83864	7930.10485	6671.27063	8513.05451	7461.34905	7647.25889	7344.7164	8596.87829	7033.34127	9815.99718	10324.6666	10247.84407	9630.80304	9559.51057
3600	3900	7462.71404	6906.45437	7077.43284	7909.46022	5881.18054	7611.58878	6179.69167	5052.85775	6842.91799	6444.56124	6263.62869	7177.66748	6891.96296	6877.53125	6929.2525	6820.3594	7390.49295	6487.58603	8253.57766	6818.97002	8151.69008	7957.53437	8705.82406	8450.76428	7264.99784	7765.60178	6740.75553	7190.1981	6710.79281	8132.08443	7529.6246	6593.94245	7528.25437	6865.23242	7767.28896	8875.98926	7011.4018	7429.35658	7595.44169	7747.84254	6773.38056	8192.03213	7614.29741	7782.31379	7840.58063	8269.18049
3900	4200	7066.40773	7107.395	5826.68371	6572.56168	6389.70832	8822.7537	6090.33648	5324.62805	6059.79777	6090.4365	7128.06905	7054.18921	6106.67715	5775.80371	6483.15978	6613.4971	7740.64249	5912.00431	8290.83434	7742.73477	7772.13505	7238.80301	9654.63802	8412.9026	7674.16853	6837.32878	6056.42513	6385.93753	6060.73644	8737.32605	5889.52119	4955.6644	7269.63221	6759.76643	6010.83617	7221.31348	6222.38735	7088.54745	5303.70018	7188.88868	5758.55724	8558.78594	7140.32334	8890.83308	8181.9726	7757.83307
4200	4500	8051.49214	7579.19847	6224.24162	6163.16289	7533.24067	8736.96704	8767.3421	6443.46167	7296.60026	6500.24364	6334.76652	6999.37036	6331.32975	6067.94873	6682.04208	6623.60588	7074.06455	5917.96214	7849.21461	7587.91211	7171.31334	7195.41568	9841.46826	7197.45403	6938.7307	7727.10221	5638.40812	7055.33213	5616.51261	7858.10396	6448.63593	6450.57461	6283.1056	5891.61802	8254.95999	7627.18101	6008.4523	6484.40141	7024.02769	5993.12244	5665.06038	8690.93211	7923.11758	7258.76178	6908.98551	7866.76766
4500	4800	6358.18209	8179.79816	6860.69772	6044.82318	6101.7197	7160.57012	6352.91305	6153.37191	7263.01714	6827.52196	5660.65337	7610.21753	6488.11998	6779.86523	5757.96229	6367.03693	7634.2752	6035.37629	7352.4576	8654.92764	7180.69012	7181.31605	8420.34749	7225.73594	8011.3467	7301.37119	6000.13542	6558.93659	5050.42532	5813.39595	5865.50275	5190.96012	6810.5376	6541.51756	6017.41908	6230.55901	5257.44622	4805.87633	5171.60735	7205.18538	4930.07039	8384.79752	7201.5355	7742.83933	7238.02653	6637.91202
4800	5100	5428.87945	6807.25694	5511.04612	6594.67088	5828.43244	5421.10398	4911.26893	4845.30003	6329.53968	5754.79172	5358.32864	8198.16593	5284.30461	5459.59668	6248.86283	6037.65238	6624.7663	5668.16646	5313.95335	8263.37178	6635.88566	6544.90742	7829.9471	6942.50297	6059.69135	5225.54683	6373.99357	7151.93867	6544.50076	4828.86621	6483.79433	4451.58221	6155.18354	5488.94102	5257.8262	5883.59441	6003.70067	5814.74144	5863.76953	6539.14826	5837.08899	5445.11602	4907.40596	6601.20086	7325.27281	6798.3603
5100	5400	5183.46492	5897.66073	5226.32109	3872.78713	5061.83679	6654.50449	4465.99425	5176.26939	5444.4918	4890.16961	4854.81563	8000.20695	4108.07499	5063.23535	4780.55875	7416.78582	6521.25092	5013.98557	5911.46682	7755.41426	5829.29954	5868.08594	7418.889	6431.61718	5462.25356	5502.12836	5080.34456	6030.42052	5113.47371	6250.33537	5442.81612	4460.94683	4638.00851	5042.73696	4927.49	4710.12957	6048.76805	5206.35161	5438.8495	6334.98206	5644.12129	5858.93142	6455.64331	5838.91429	5192.61669	5877.90619
