frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-Pt	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
480	600	29233.1167	29953.35929	34178.99512	37233.67288	27238.61482	29337.73235	34165.07728	33270.83927	39911.30256	33115.18869	29577.57368	28853.17529	35084.14744	38957.23435	31400.83961	35942.43361	29099.58294	27908.28513	29981.68203	34694.80064	37797.73077	28609.10781	35665.72433	28895.2818	30854.9189	34127.40566	39024.95968	30046.9753	26585.43889	38377.30764	29559.69434	39263.01253	33440.21044	27525.04105	30951.82552	34592.58594	36419.36176	30022.375	40838.1088	32073.98177	39070.16661	29600.48099	28170.20054	31420.83276	34778.15507	38083.12268	33792.97656	39253.4255
600	900	25589.39738	26777.69081	27608.11719	31322.13056	22791.31055	24565.9052	29026.76916	28295.32668	31740.23632	26893.33808	26517.95713	23421.43188	28283.08964	32354.63864	27408.29019	30803.58853	24158.945	25803.81868	26697.98164	29468.28919	31823.91774	25623.05781	31957.79013	25267.05324	26534.48421	27112.51367	31884.20859	23665.79527	24454.14128	29103.81601	24946.7832	32816.22511	27485.72761	25802.92982	26035.58529	30494.79102	29078.80349	25869.98047	31661.52195	26701.79258	31540.14318	23857.96052	24912.33113	26385.09106	30257.40132	32147.06258	28153.86523	32529.77541
900	1200	23588.46778	25331.92722	24001.28491	28216.30815	20496.21233	23537.04659	24111.23484	22771.05064	27640.14463	23357.37009	23824.63353	22804.13232	24052.47992	26502.81829	24093.16973	26486.62456	20602.40722	24701.29689	26372.5293	27539.07438	28022.94812	25806.98242	28280.16336	22531.57731	24483.60745	22878.9584	27479.62865	20070.75034	21872.67834	24407.01821	22849.80664	27077.70964	22921.34924	22932.08756	22713.92144	29619.08008	23856.68707	22913.93164	26913.37619	24995.73509	26553.31629	21390.96197	23285.79337	24750.62207	27368.88873	28074.57692	25639.16602	28465.25124
1200	1500	19894.60124	20729.62786	19817.24036	24227.98927	18289.5978	20787.87483	19343.18201	19800.14945	22236.87931	18720.33534	20587.39592	19395.51416	20233.68102	20951.52649	20235.00076	21193.26817	16823.76543	21147.02014	21988.40898	23782.95818	23400.51361	22325.15781	23750.44891	19774.82049	21914.39374	20092.86074	24324.44296	18424.68055	20368.50722	18383.44233	18686.79814	22670.5166	19480.22295	21191.60109	20719.67578	23311.96094	20403.82234	19361.73633	22032.6808	20990.63241	22699.28313	17024.43293	21749.8443	22429.86206	23129.492	23389.84412	23901.44141	24388.46776
1500	1800	17103.58782	18002.01387	16079.36792	20484.50997	13972.88909	18652.46924	14829.70666	17943.84241	17874.52268	15726.13499	17828.64367	16501.30371	18458.12591	17193.6113	17255.8139	17624.62879	14312.80838	19273.0382	19595.97422	20678.22098	20601.86343	19304.25859	20186.73964	15941.27891	19379.28172	15948.1623	19345.53672	13480.01252	18511.51115	15589.46827	14489.72725	18598.15832	16344.70876	17921.24753	18471.85959	19338.0918	16099.98213	16935.84375	18179.98274	17132.95036	17643.18428	14696.595	18166.49974	21311.63574	19778.6337	20143.41305	21735.02539	21254.97854
1800	2100	14575.79169	16123.69909	13146.81165	16342.49231	12459.21017	16141.04801	12073.63876	12565.96947	15244.07707	13624.61585	14868.56728	15354.8739	13794.6996	15282.05064	15701.9936	14496.871	12869.19949	16806.69436	16983.24316	17249.42487	16665.06697	18577.11562	17289.31142	14128.13983	16754.15952	13876.77305	15851.67279	13120.10702	17296.06666	12539.79804	12339.19912	15413.33729	13850.08103	15054.11256	15875.70801	17081.0	13662.64198	13797.8877	14505.67536	15988.22205	15432.26654	12481.82663	16937.15446	17162.03955	17621.2302	16622.65145	18712.0957	17348.88058
2100	2400	13127.79284	13127.87373	12630.9502	14642.86873	11201.93959	15921.83446	10819.85041	12902.02879	13412.96394	12168.15417	14301.57259	12590.12329	13120.25995	13308.60948	13929.21189	13984.26997	11208.06707	14776.63019	13945.07012	15726.54205	14904.36061	15853.89844	15489.88024	12012.14874	14557.3899	11884.67705	13761.53535	10318.95554	14899.44251	9920.06766	11104.66162	13115.63116	11696.35213	12984.61739	14441.2704	14872.36133	11569.84878	12560.79297	12875.94605	12999.67906	12030.6897	11116.34129	14593.19976	15685.901	15022.55928	14467.16868	16150.5166	14683.44988
2400	2700	11816.00903	11886.45945	10502.2572	13457.10245	9745.747	11964.33868	8723.09527	11051.90542	10936.46929	9779.53418	11928.45447	10131.96216	11405.60852	12691.22456	11517.49515	12754.31645	10067.94873	14518.73422	12743.95645	14431.47927	13385.32656	15783.61367	14339.04187	11486.88348	12734.91011	10734.40361	12475.15594	9488.09616	14389.14041	8192.74689	10171.23975	11171.10996	10115.41965	13145.63985	12330.92068	13371.70117	10189.673	11231.8457	12205.89706	12401.29784	11306.64095	9739.14438	12968.60585	12899.32312	12798.88762	12502.85454	17125.90625	13742.87661
2700	3000	9985.15966	10742.87874	9307.7356	10785.64695	8881.57516	13131.61586	8842.6845	8461.78494	9919.96072	8583.96193	10868.59606	9055.22021	9280.98247	10199.17174	11040.13251	11985.84043	8832.75015	12197.0068	11740.10801	12735.31021	12614.27175	13470.4791	12576.72024	9434.0208	9893.0501	9172.97124	11212.7077	8373.35504	11263.95065	8080.02136	9536.00791	9383.75121	9157.76971	11266.43556	8612.68717	10187.52344	10247.69526	8945.42871	11428.30141	11225.2997	9092.88027	9332.76886	12068.7001	10385.31201	12126.17423	10634.86102	14754.41211	12521.14265
3000	3300	9756.81053	9332.20263	9779.05426	9885.03639	9698.47499	12728.16191	8320.49614	9420.09825	9426.53475	8967.93393	11603.36625	9238.76447	9982.61246	9056.93891	10405.83967	10532.96038	8077.33787	9975.4109	9281.69687	10339.10536	9713.50626	14077.38965	11216.06943	9469.33756	9700.86702	9025.8939	9693.44069	8617.40803	11206.3391	6638.70863	8848.24341	8702.29269	8743.21379	10289.09591	9743.45584	10443.20312	9615.84715	9926.91309	9180.43236	9781.49542	10481.78626	8651.53457	10095.23921	9942.33008	10465.74894	9736.40073	13861.22559	11041.42252
3300	3600	9417.80906	9461.02231	8182.21973	8107.07382	8146.09727	10693.85814	6325.80463	7948.45938	7678.43647	7698.31067	10704.98656	7670.68616	7270.64004	7973.58254	8335.26911	8547.35137	7170.95862	11326.07307	10015.56426	10500.24568	9124.86712	13219.70215	10180.49814	8451.10519	9567.19638	8193.30244	9422.92034	7294.51827	10333.36378	7314.16154	7917.97026	8705.40265	8225.3619	9448.75805	7338.50016	10304.98145	7266.49541	9076.27832	9276.48432	9116.57347	8865.29657	7636.18213	10509.30298	10725.74207	11151.45656	9852.41882	10372.37793	10644.21036
3600	3900	8708.43528	9147.27166	7267.77716	7452.47132	6836.2643	10621.56181	6713.09069	7455.29624	7600.04223	7155.42996	8294.59676	8156.48767	6027.87224	7770.96325	7978.80377	9085.52381	7796.56289	10094.02324	8792.54609	9306.40597	8676.79938	11001.94316	9272.9737	8939.04127	9528.56002	7472.11191	9564.25859	6474.90366	8549.72647	5798.24232	7028.89707	7869.48477	7717.32085	8130.17401	8695.74414	10652.5459	8667.80225	8852.29785	7732.54266	7567.43503	9107.28078	7062.81539	9714.86764	9392.00537	9647.86658	9105.45199	9896.40527	9377.83487
3900	4200	8116.88826	8159.22174	6339.37048	7123.55139	6920.41493	9857.27858	6099.09002	6110.22304	6775.30586	6510.22091	7263.52337	7458.65094	6770.622	7099.51155	8470.15855	7714.94979	6320.45463	9454.21659	8093.35098	8824.02663	8422.26001	9763.00898	9112.89533	8057.9013	7062.46283	7572.91182	6632.64998	7123.94333	10019.29402	5759.89251	6761.40547	6952.2857	6236.9048	7765.76591	6585.57541	7139.32666	6034.4062	7376.79736	7922.54417	8739.60754	8160.31991	6738.54604	8791.09671	6962.47144	8415.2108	7604.72853	8591.9375	8615.09073
4200	4500	6993.70082	9009.27049	7075.71674	7585.13424	6799.26503	8537.98185	6479.77456	5233.37149	7949.42012	6952.86051	5517.61465	7738.51678	6255.24501	7397.93462	6868.60571	7569.61251	7062.32654	8731.71225	9736.26133	8778.41581	8942.58065	11707.4332	8891.33437	7025.54476	7292.30373	7110.06714	6247.0151	6106.31638	8697.684	5348.76009	5515.97104	7970.03	6980.1237	7870.67238	6300.07921	9302.16504	5945.10526	7642.8667	6958.61015	8698.75374	6086.33959	6132.54629	7476.0344	7341.90393	7479.52836	7253.42637	8898.94141	7996.0559
4500	4800	7149.01791	7218.20081	7900.95612	6969.55048	6517.16567	8209.35592	4697.55437	6925.02903	7365.16699	6252.85736	5881.5061	6086.48138	7554.66607	6476.2565	6939.14806	5902.47694	5955.67133	7170.15889	6260.35986	8084.92996	7061.61738	8880.84922	7191.26438	6907.26223	7319.71044	5881.37302	5806.7779	4078.98525	7387.42928	4326.53517	5308.13262	6525.55282	6195.76635	6918.69318	5799.24924	8007.34717	5605.85129	8164.06201	5914.22613	5473.85877	6906.13678	5016.55474	7905.16244	6861.4187	7699.9318	7095.03206	10811.15234	7510.08091
4800	5100	6774.8533	8217.06399	5481.8269	6377.1723	4744.15346	7244.05629	4046.55926	5036.46219	7207.66192	6044.23287	7729.38096	6892.46649	4839.98874	6171.49434	6916.06709	5850.25467	5454.11641	8290.78758	9786.01562	7923.1586	7385.87706	9253.19883	7149.23155	5280.35517	6245.28884	7058.62019	5483.14862	5898.29927	6490.3341	6127.44787	5624.10806	7149.30081	5668.33125	6748.16222	5038.13373	6493.98828	3869.56697	7171.354	5201.5163	6012.27266	5811.36403	4727.74072	6217.97616	6852.60822	7069.1135	6747.67238	8877.02246	7499.8283
5100	5400	7365.13509	8022.57056	5046.90649	6082.23175	3946.12917	8838.21232	3937.54867	4339.38345	6736.55458	6140.77311	8262.18217	5458.07593	3565.85123	5797.33152	8145.83615	6321.30881	5717.64778	7399.34413	7612.83213	6225.63792	6948.65319	7993.62959	7980.80943	5812.28159	4742.91826	4906.8858	5196.46617	4312.81098	8452.00125	3474.88111	3267.76541	5545.43607	5091.32715	5786.52698	3470.2529	6173.11133	3016.91886	7632.03223	6152.50428	5871.13018	6061.45606	5647.26599	6076.85119	4640.18921	7133.50741	6347.62576	4811.38965	6435.35565
