frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
480	600	18720.92374	20327.86353	25599.5972	24721.98637	21727.5597	23084.63272	22687.8966	25570.02206	26433.68261	22996.61012	22083.70672	23630.3193	24035.44704	24262.92563	26054.26537	23179.23889	25981.18314	24742.28165	24793.70565	24491.31539	24942.3558	22388.50286	19958.85686	20845.74669	22696.25275	20295.96152	23370.31793
600	900	16337.13624	16421.36061	20746.90983	20932.30597	17487.77385	20702.68621	19226.68555	22021.62443	22090.91829	19484.82387	18528.57471	20114.18633	19718.03997	21071.18276	21439.73557	20129.82527	21342.11727	20987.23731	20557.96339	21990.63678	22558.17442	18622.48111	16776.77972	18393.68953	20545.27761	17941.83632	20082.36835
900	1200	13202.41907	13665.17323	17007.93555	16661.7813	14228.05865	16187.33975	15615.7494	18052.3109	17257.45634	15973.01071	15626.28898	16067.90041	15891.02376	17000.68758	16538.36708	16467.57958	16630.13356	16932.7695	16323.46108	18537.48079	17822.54884	16750.5861	15867.22698	15795.00913	16235.66962	14657.16668	15682.26924
1200	1500	11870.64479	13406.08081	14697.72957	14085.51268	12592.42983	14019.7085	13540.93724	15078.7315	15092.53154	13555.74525	12980.5851	13201.67058	13644.79375	13956.46264	14077.03496	13760.22863	14142.42947	14211.58563	13819.58084	16184.36569	14661.2586	14137.14598	14290.72266	15684.58823	13825.96952	12802.37352	13502.29155
1500	1800	10078.42995	11787.04806	12785.98619	12191.8218	10958.04439	11631.85573	11669.57663	12968.07452	12640.1384	11565.36371	12504.99203	12405.81693	12543.05173	12100.49211	12589.13702	12016.6097	12544.65811	12126.35063	12362.22727	13445.20653	12043.09529	12979.23633	13780.57324	13647.86324	12507.70707	11459.40727	10299.8058
1800	2100	8563.40079	10626.83495	11197.78714	10881.04553	9738.49418	10308.51342	11197.3544	11363.49607	12837.24087	9984.79526	10988.49832	10102.80497	9888.20467	10172.7319	10383.68219	10162.38065	10734.90498	10182.48182	10918.09286	11819.66525	10458.49591	11622.86921	12282.21931	11762.4076	10427.69936	9517.01977	9530.03028
2100	2400	8699.87321	10152.44119	10186.52179	9170.4284	8743.05898	9804.80534	9229.90888	9884.87591	10187.91534	8840.71948	9770.22066	8528.68566	10180.8164	8410.15863	9778.29786	8740.02694	9815.30763	8947.16729	9758.83356	10680.5838	8958.6992	10754.46337	11354.08747	11108.7053	9583.90743	8721.59739	8542.975
2400	2700	7975.21618	8163.61536	9557.41726	8426.90121	8281.88316	8649.25687	8750.64821	9620.23477	9448.89763	8905.80655	9534.96559	8540.97588	9376.841	7522.11764	8497.78206	8021.45777	8674.04952	8801.87908	8929.50729	10285.305	8518.0305	10253.95932	10160.43917	9337.6146	8331.4202	7529.08264	7813.39497
2700	3000	6688.48175	7092.47416	8761.11437	7783.00793	7968.69325	7704.46475	7705.99344	8456.05624	8482.56307	7593.98416	8754.87543	8380.35091	9207.9875	7920.4143	8302.12256	7818.65669	8252.85691	7787.73425	8300.17817	9741.64368	7314.17835	8888.31362	9202.79436	9496.77669	8054.6403	7449.68835	6567.70207
3000	3300	6396.6215	8101.92137	8275.69606	7144.44421	7993.39623	7060.17298	7049.54061	7752.93725	7159.18866	7867.60062	8130.76898	7810.63673	9313.31526	6890.80765	7833.59485	7366.58997	7692.57881	7371.00309	7719.79063	8990.44066	7795.01932	9219.1825	9585.68694	8722.02096	7853.15146	6900.71761	7088.28776
3300	3600	5935.54859	9243.02266	8470.76643	7465.38412	7128.40164	6478.96232	7543.41275	7116.21492	8098.32841	7459.11109	7877.43782	8314.72421	8386.49749	7580.85302	7892.57909	7501.41671	7989.66471	7278.80395	7891.48823	8839.64333	6366.38639	8468.16584	8561.19901	7800.44481	7111.3484	7173.9162	5197.36411
3600	3900	5584.40937	6983.98669	7540.50003	6742.66591	6973.77157	5861.81998	6776.21058	6874.38621	8018.04177	6148.87007	8063.33781	6424.22977	7974.99958	5012.85341	7686.74239	5486.46013	7752.22688	5975.33973	7778.62093	9018.83015	6079.59966	7793.7644	8892.53983	9443.97575	6184.53217	5884.86408	5349.08985
3900	4200	6587.86505	5702.84754	7134.61731	6584.14517	6454.96985	7166.39914	7115.58662	7104.80176	7248.09966	6228.56542	7595.29498	5771.92916	6930.40357	6286.62487	6164.19682	6509.77415	6550.01624	6303.55331	6944.57606	7527.2885	5104.43715	7965.68563	7776.5528	6383.23141	6011.26495	5152.03277	5331.46554
4200	4500	5384.812	5844.23143	6464.9342	5709.83072	6101.82996	5286.91656	7076.56135	5290.93671	6470.02	5345.00397	6955.54382	5353.33732	6659.67818	4523.4351	5819.86563	4809.92807	6021.89678	5038.31409	6369.28184	6730.34891	5747.80861	6175.08219	8008.68541	7927.31427	5300.78423	5993.38192	5147.83352
4500	4800	6114.71094	6261.0048	6198.46911	5818.05373	5948.06575	6157.00159	5742.54417	5780.59007	6572.27153	6081.53885	6944.93239	6889.16289	6840.25131	6046.12513	6253.14352	6270.66038	6387.85838	5920.85397	6389.99597	6804.4347	5332.2386	7743.52243	6845.2064	5673.08109	5847.39269	5107.42311	4992.79588
4800	5100	4422.81601	6039.20086	6940.70212	5514.23896	6662.34133	5478.77528	5119.98763	6939.65833	5650.33613	6159.68744	5636.47457	5881.14306	6442.17167	5377.93297	6092.64668	5393.608	5867.81177	6251.20301	5589.6748	7146.18339	5850.0471	7860.56221	8859.88916	7823.98802	7134.45421	5724.49581	4873.99128
5100	5400	4186.29336	5978.52693	7039.42358	5953.38193	6514.15614	4232.45067	6806.15514	4992.51495	7460.88929	5016.04827	6568.22098	5090.25129	6946.40868	4288.0668	7009.13622	4667.77823	7032.27998	4776.47053	7025.98828	5927.76882	3897.12634	5002.85885	5707.28896	5922.43611	4423.23691	4892.86712	3950.85051
