frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
480	600	20173.17759	25149.94218	21033.28066	26826.65171	16655.14333	21395.55958	20443.06337	22169.3661	27432.35652	24082.46169	24634.87925	22619.61328	24772.11939	27589.3977	24548.45729	22917.01519	21592.79215	21579.54554	25481.37713	24326.04978	25246.6418	20426.19775	23985.09254	21082.29493	24978.17477	22782.99593	29081.94356	16948.95436	23340.07965	20162.13405	19965.20893	29150.00393	24969.50336	25159.75683	22450.25916	29630.95605	25142.36947	27646.54113	26472.77837	22576.23956	21883.02483	21836.87418	25419.51207	24549.61661	26016.73913	25864.67334
600	900	18133.59575	20638.1899	18630.00459	23455.41866	14308.67003	17854.49085	16966.63782	17698.57064	21739.38544	19363.23837	21220.88581	18148.4329	19883.72799	21937.60931	19502.81429	18217.25207	17595.29886	19451.72871	19872.16619	20881.78277	21396.67699	16839.64185	20057.66376	17740.21773	21110.27373	18690.90869	22212.70006	13741.07058	18495.99097	15613.52069	16005.84616	22112.93301	19700.72103	19514.86626	20193.33789	23285.33887	18827.61341	20528.92988	19161.73234	18418.50061	17178.07233	19538.71613	22143.1843	20651.41557	21042.84051	19970.85758
900	1200	14591.70652	16773.68772	13900.76221	17273.72175	11883.89416	15187.86847	12984.61208	13769.19672	16610.17931	14212.74036	17599.15238	14519.15995	15177.47172	15926.82209	14821.01378	14914.67355	12811.79365	16046.57283	16997.44238	17512.34314	16991.36116	14310.63086	16526.93002	13180.94236	15141.84832	12478.24512	16848.71924	9882.04199	14130.60042	12195.53187	13336.13454	15687.88283	13852.96332	14768.2317	13873.77246	15775.52051	15304.70147	14933.91287	15000.32439	14280.55565	12610.83606	15653.59363	15930.81419	16769.03368	16837.6788	16048.17276
1200	1500	11346.46723	13236.17199	10692.99033	13932.86864	9249.99162	12978.0836	10399.96765	11419.8546	13171.21718	11079.23821	13932.82886	12847.31592	12099.20018	12584.98872	12249.88178	11795.63457	10998.09302	13982.17661	14601.80433	14668.26983	14381.11847	12565.00952	13463.3216	12278.00179	12900.27902	11468.60799	14217.81141	9662.52058	13069.21197	10437.06778	11751.18158	13027.88605	11313.33644	13505.10004	12293.43758	12900.49805	12999.18142	12311.1958	12440.26488	12292.10495	10637.44775	14605.01043	13821.29599	14365.63285	14208.78007	13892.66681
1500	1800	11297.18747	12387.78953	9897.01582	11963.56166	8719.52915	10848.72177	10051.45936	9953.23698	11279.80336	9967.525	11497.45721	11253.47963	10136.91146	10853.85047	11148.22193	10911.70462	9290.96207	12581.58724	12381.96032	12928.77558	12602.10338	11383.64355	12031.42696	10218.64978	12039.64532	9938.77112	10857.21297	9419.31618	11481.23652	9476.73006	9970.86058	10654.17472	9754.16986	10991.87717	11027.10059	12799.63672	10464.71621	10030.49526	10632.76078	10033.8345	8863.87913	12384.99358	13205.08736	12924.6105	11914.95873	11655.97398
1800	2100	9021.8102	10642.73234	8474.33926	10249.67272	7697.27657	10203.25072	8703.41521	9273.52686	10174.87635	8463.5523	10316.07808	9688.67334	8969.25854	8972.39012	8955.85412	9854.26019	7965.04991	11336.51673	12355.0997	12252.14314	11355.37224	11431.35303	10882.16703	8643.81134	9981.88536	8059.01534	9388.3236	8098.60999	11476.69936	9054.55102	9149.86791	8908.59912	8191.72694	10044.26488	10155.97604	9810.36133	8769.10465	9339.56948	10005.25963	10397.83981	8315.05988	11327.64325	11254.3014	11664.64292	11209.88464	11522.81403
2100	2400	9367.49672	8927.14958	8041.90737	8994.29894	6890.41667	9810.68982	7662.51413	8283.29612	8624.32203	7725.92511	9712.50607	8177.32757	9081.13756	8499.98075	8397.92885	9319.97553	7567.10028	10630.55229	9437.70091	11370.19882	9894.9535	10768.28394	10404.07094	7993.36872	8536.32895	7426.44214	9364.57739	6570.94657	9804.92839	7757.76599	8210.82643	8006.21342	7640.41844	9903.43822	8512.79455	8621.15186	8250.99637	8146.40331	8221.0658	8749.42907	7081.04249	9924.76665	9272.19478	10112.63651	9819.80615	10416.44257
2400	2700	6960.05614	7855.75312	7035.75815	8834.43125	7042.08081	10390.28813	7020.0695	7657.42757	7892.61566	6763.0168	9495.72666	7935.78024	7236.78565	7790.81254	8418.1027	8934.52888	6971.13909	9093.13038	9209.66504	9540.37126	9284.85724	9545.09082	9674.8795	6727.53519	7551.89604	7242.63635	9562.38221	6855.33896	9325.3103	7783.09188	8269.60202	7915.08601	7056.40924	9881.3589	7459.34157	7149.97339	8961.42695	8012.47736	8108.32397	9058.13722	7043.60603	8368.11474	8299.70845	9282.36237	9914.31683	9773.65463
2700	3000	7346.19436	8364.31537	6288.50449	8068.40523	6315.92281	8824.85874	6791.78495	7350.80534	7578.7344	6812.57272	8547.86637	7845.3208	7510.61289	7307.7976	7169.08151	7583.19872	6413.33518	8747.75449	8721.07573	9036.57483	8650.61213	9052.58789	8560.46792	7052.23228	7571.94744	7032.46704	7969.35517	7198.18376	7969.76369	7820.8853	7472.73147	7365.03606	6853.7613	7851.38506	7272.37211	8276.01953	7235.35458	7308.88081	7411.60671	7054.0964	6411.40867	8119.89313	8110.55922	8361.20689	8382.81366	8429.85912
3000	3300	6688.97092	7244.96046	6081.88779	7650.0371	5927.32242	8217.23386	5393.76531	6683.05333	6913.45649	6305.39517	7114.92368	7328.30015	6336.34829	6079.10506	6769.15107	7415.59818	5811.24449	8064.18471	7965.5368	8265.91985	7423.80502	10087.56934	7537.56269	5917.73725	6746.14517	5808.26046	7163.08139	6198.34174	7947.31463	6330.73981	6561.27266	6698.44872	6098.44762	6567.62341	7005.0957	5711.30664	5915.53301	6139.01877	6666.11946	6546.29658	5414.21904	7485.68836	6987.94141	8436.32193	8319.76419	7733.12211
3300	3600	5810.74897	6898.18077	5586.42849	6643.03702	4784.03225	7867.95365	6081.81391	5384.01904	6158.01431	5256.64644	7317.69666	7662.5234	6093.05313	6789.22598	5864.31141	7702.12024	5641.322	7428.74844	8379.6392	7544.31707	7322.37548	7055.24878	7777.08489	6344.08914	7428.52638	5532.84338	6087.86135	6098.31167	6232.64751	6111.79921	6485.98251	5305.73887	5393.17701	6561.13702	8038.84044	6605.86279	5537.82321	5319.30244	6021.02746	6523.28118	5001.49338	7245.55114	7963.02166	7530.24116	7528.80358	8240.51462
3600	3900	6102.19265	6508.74584	5385.13997	5640.13665	5314.86011	6775.64501	5473.90005	6372.06831	5917.97803	4819.38821	6508.73285	5231.99669	5439.90807	5890.39934	6615.12366	5921.97903	5377.75504	7094.64815	6445.42259	7341.34734	7653.82057	7424.15942	7745.84304	5604.86473	4944.20759	5350.19739	6474.79942	5685.43919	7016.61467	5611.75573	6461.80655	5346.99554	5015.01226	5450.05395	5354.55119	4767.11011	5277.94784	5910.08785	6162.58094	6401.72515	5197.11651	6290.11547	5292.71844	6349.39047	6166.46336	6893.75099
3900	4200	6397.55139	6741.88901	5042.62407	5540.69719	5246.40897	7267.54574	4952.46141	6492.22244	5092.65491	4821.81323	7008.48261	6163.50188	4902.75903	5367.97285	6115.81133	7182.71083	5471.9631	6894.6812	7031.82759	6342.6984	6127.75177	7285.86218	6573.6001	5380.42491	6149.78636	4370.19432	4974.87564	5232.43833	6884.72145	5310.3007	5850.28905	4862.588	4667.29155	7104.13941	5379.8205	6440.23291	4930.67195	4807.92259	5940.84663	5117.58285	4659.17847	7052.84383	6177.80158	6717.66574	6176.27104	5969.37172
4200	4500	5480.48096	5510.96397	4747.01846	5615.91231	4884.34016	7205.97267	4388.66327	5855.84641	4745.13489	4238.85649	8436.70883	4071.15241	4741.41452	5254.01275	6390.81705	6260.67692	4397.30808	5910.99446	4983.89391	6623.78493	6245.86396	7096.92358	7189.73596	5489.80727	6309.73969	4543.27122	4883.6581	5793.87774	6624.65287	5538.68373	5199.85584	4336.91894	4334.8658	5419.84144	4081.66382	6408.00684	4818.52214	4603.07576	5249.13026	5635.32244	4049.68817	6324.00918	6239.42188	5503.55413	5542.95756	6535.85052
4500	4800	4242.90689	5131.35459	3715.62478	5761.48562	4992.60835	5149.93652	4581.50727	4227.61315	4422.06469	3333.35069	4181.38355	5522.90538	4216.34278	5086.25601	5087.93621	5203.23051	4302.38397	6358.76741	6269.91903	6313.05591	6193.3691	7488.00525	6700.61264	4690.00852	5260.15977	3740.61767	4839.06198	4776.30446	5879.72277	4582.79061	4668.07126	3911.56007	3384.89774	6103.79413	4549.75714	4703.57422	4885.62711	5055.5456	4594.5253	6260.92645	4759.07872	5647.75101	5696.27335	5140.10516	4832.35801	5491.71256
4800	5100	4916.44081	5942.78132	5337.34011	5964.10391	6330.01003	4868.39236	4262.28513	5008.91479	4786.48223	4397.21746	4262.43938	7804.12413	5421.97786	4112.80783	4356.13028	4478.94237	3531.59168	5657.20804	6708.98939	5860.81343	5358.02212	7757.53247	5592.00819	4566.1886	3452.30488	4491.47827	5088.04274	4774.95228	4732.6136	4293.16458	4670.47594	4266.88586	4119.41615	4629.64367	4251.26549	3405.03064	3871.75175	4573.49324	5171.17247	4612.18321	4241.33587	4292.45129	3457.36956	5282.4001	5455.98961	5662.43578
5100	5400	4441.97302	4761.25945	3060.61462	4215.70598	2656.26854	4481.89157	2681.92969	5544.21349	4129.30387	3738.85617	4371.74742	3737.21589	4143.45637	4324.17943	4623.47845	4894.50818	4008.97183	5092.87368	3952.25628	5379.53345	4942.82643	5911.15808	5674.80231	3851.01085	2681.0208	4008.34157	4730.61946	4855.88337	5769.82762	4192.41561	4378.18963	3754.77289	3696.90983	3822.67294	3104.22192	2072.73029	3826.97322	4675.03281	5539.95033	4952.52766	5190.01047	3593.15572	2681.46875	4436.65629	5007.75334	5446.53494
