frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
480	600	17817.7497	16857.44613	23781.83255	23310.87504	20912.78387	22683.01343	20798.44766	24558.62313	24689.024	20894.10591	22465.51874	21602.60316	21700.50864	23300.94459	24030.64825	22087.42865	24069.21136	23003.30759	23233.28273	24479.34176	24091.19748	23589.17554	21170.54883	21770.64108	22492.06059	18109.8632	22426.2059
600	900	15981.20055	16769.68894	20815.21465	20345.49557	17781.52327	20348.40271	19104.0083	21696.78226	21442.19996	19149.14914	18988.97631	18942.12494	18951.83883	20030.00661	20770.27871	19545.01694	20690.35681	20685.87696	20115.99721	21970.53917	20830.81467	19923.36352	19466.67215	19972.80897	19731.12304	16465.44401	19834.15171
900	1200	13327.98232	13138.46482	16318.87832	16547.49315	14660.27732	16297.02011	15134.40194	18215.73346	17175.77949	16037.02845	16149.68688	15450.27247	16046.18117	17202.49851	16626.65398	16681.94735	16654.80975	17303.92853	16447.01128	19045.49989	16636.44801	17427.33027	16779.03627	17741.86993	16224.95842	14255.15496	15588.09066
1200	1500	12539.73634	12385.05349	15730.62047	14706.76443	12553.59685	14575.48671	14058.68197	14999.16186	14583.6987	14090.56389	13280.98103	13635.7627	13967.93794	14485.56669	14330.61809	14328.9641	14495.82225	14927.64075	14149.07112	16593.10238	14333.42757	14287.27106	14559.60017	14722.27148	12927.48823	11473.85485	13775.46532
1500	1800	10492.86493	10907.8607	12574.50458	11893.89405	10774.2085	12350.85873	11744.90746	12711.07913	12147.45706	11632.46177	11425.81003	11612.61049	12894.20845	11961.83833	12332.68339	11787.17992	12263.38656	12191.04041	12105.38726	13274.25289	11226.40208	11862.86512	12450.31571	12945.78824	11086.33656	9786.48017	10685.12439
1800	2100	8623.7291	10344.53134	12228.21943	10803.07663	9822.06207	9841.00908	10280.67172	10968.15279	11240.88562	10184.2793	10954.05278	9910.68457	11639.13488	10169.75718	11458.66702	9934.10384	11407.79363	10456.72815	11092.79828	11555.99303	9376.75409	11500.46325	11795.17662	11829.54639	10001.02172	9546.22378	9341.17972
2100	2400	7617.55276	9766.16119	9891.98273	8571.53137	8330.72698	9022.9569	8659.45793	9866.21744	9049.8042	8714.21635	9842.74261	8196.75964	10114.25911	7613.99789	9212.54028	8130.87629	9263.97395	8688.9232	9330.84253	10622.53107	8502.25836	9072.68062	9504.96554	10302.95474	8852.68793	8837.70416	8502.89319
2400	2700	6496.5199	8927.09933	9410.863	7614.94962	7745.09404	7230.79424	7575.31569	8451.87298	7835.92059	8027.24138	8147.68057	7690.14379	9135.75291	7282.40237	8399.1305	7480.27086	8311.7132	7818.52189	8115.24852	9431.24148	6959.35453	9650.24491	9940.67229	10038.65651	7122.97433	7151.85933	7314.94067
2700	3000	5835.81707	7858.27627	7824.98659	7022.37569	6902.94991	6031.60364	6794.11298	6311.62544	7402.54907	6898.03827	7528.77691	7517.8986	9717.543	6083.48794	8160.95043	6326.9782	7880.42111	6338.66413	7761.34045	8520.99625	6324.62967	7791.57746	7985.1935	8686.01848	6819.86448	6856.50811	6216.79965
3000	3300	4813.45074	6946.2082	7856.29312	5815.39527	6665.61759	5762.68434	5937.39739	6192.05915	5701.19611	5930.02205	7475.50797	6609.01232	8565.74831	4998.31264	6988.83524	5424.24158	6861.05347	5723.96657	6754.9169	6283.9779	5060.70325	7238.88036	7619.6513	7498.90856	6124.56393	6192.84764	5017.26915
3300	3600	5075.65806	6893.45139	7556.01682	5904.09852	5969.37475	5601.09178	5828.22595	5538.05549	6134.7233	5414.60757	5931.68284	6259.48187	8115.17029	5198.00475	6815.68221	5391.35837	6698.42434	5411.0542	6447.53457	6889.5803	4974.25585	6784.9275	7695.85477	7519.81996	5432.68986	5175.81933	5497.96493
3600	3900	4796.70428	6404.65346	6808.90422	5383.46708	5446.03807	5222.35145	5465.6055	5841.55222	5275.0528	5476.58645	6502.52316	6275.18958	7222.51991	5003.88599	6019.42664	5156.70583	5943.51338	5356.35504	5986.93084	5706.83951	4919.96241	6588.74083	6422.92055	5128.22437	5791.73119	5337.49638	4950.03416
3900	4200	4618.25853	5110.00407	5502.94378	4785.21351	4708.96899	4817.19301	5133.22181	5066.351	5518.15883	4821.24625	4988.67457	4660.39959	5911.78826	4496.32204	4990.12536	5191.14765	5016.22715	4476.52992	5054.55829	5860.89936	4573.30041	5465.19889	6233.13002	6144.1862	4847.44165	4337.76923	3154.69521
4200	4500	4840.45412	5883.41312	5515.80247	5135.69173	4646.3174	5040.60476	5375.97907	4500.43529	5986.25724	4265.75582	6122.00364	4877.73477	6734.1825	3969.13459	5968.4311	4299.81569	5829.59682	4314.98196	5896.24424	5422.95504	3664.03033	4986.25481	5181.30427	5651.57863	4755.02131	5117.46425	3739.10574
4500	4800	4204.54055	3591.46547	4931.96719	4249.15495	3974.03913	3719.9817	4486.49246	4485.45193	4748.14871	4292.31704	5726.2497	4535.52118	5650.80836	3969.51774	4918.58034	4064.32867	5032.19962	4100.64268	5129.55423	5545.0831	4615.33323	4455.993	4338.44887	4073.49177	3740.83544	3438.76947	4068.34778
4800	5100	3215.35251	5473.61632	5448.12557	4063.92789	3894.14335	3483.235	4599.34453	4138.82481	4101.19942	4225.91674	4971.4273	3670.55296	4837.22487	3357.11052	4346.35858	3506.30197	4405.10732	4031.56649	4505.66873	4566.79061	3728.83533	5717.99499	6287.36855	6797.90323	4565.21424	4829.38246	3477.85769
5100	5400	3456.44945	7164.00858	4750.68575	4234.06621	4041.17291	3921.8278	3956.79055	4657.03865	4652.98509	5035.5691	5410.86722	4777.56304	5834.72954	4904.26348	4397.31679	4504.00243	4494.54718	4875.98426	4769.58167	5270.54006	3545.7919	6270.73227	6873.26283	6235.02406	5402.83584	6219.04192	3776.5107
