frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
3600	3900	8756.44623	8103.83987	7162.18802	8272.88513	7716.02622	9661.09189	7583.33469	6574.38194	7737.02567	7195.97462	9113.59567	7934.64478	7730.71078	8530.09224	9413.99232	9378.75378	8150.33148	10285.63421	8528.9541	10651.55116	9627.91055	12687.86133	10026.11167	8209.52385	7674.95497	6860.63814	9385.50114	6333.11614	7893.56773	7650.03419	5815.02809	8451.14232	8083.96121	7125.77061	6902.43224	9589.93359	8082.81606	7877.19359	7895.14349	9065.35081	7069.73683	10576.73483	8383.88003	10465.63562	10309.81811	10041.10041
3900	4200	7104.72252	8062.74756	6464.74922	7790.22249	6525.02665	8100.47205	7237.95034	6510.6789	7122.04686	6867.95122	7639.16506	6387.10718	7209.90361	7270.2463	7181.72251	8613.88169	7050.46884	8317.15594	8779.81543	8780.56039	8828.59921	10463.75488	8832.7898	8332.53316	9273.58938	6913.31001	7257.70765	5695.45369	7179.02192	7648.37289	6648.92725	8669.02753	7700.76677	8345.63191	8367.88191	11664.49707	7543.28641	8059.54145	6607.98594	10257.94248	6587.72523	9497.05551	8914.9707	9879.11035	9090.30681	9429.61981
4200	4500	7652.50692	6695.86872	5984.94623	6882.61766	7118.32138	8698.51536	6592.95615	7279.4661	5869.40382	5775.01478	8007.60767	6062.90123	6048.21557	7226.13882	7753.98127	7942.89717	7197.59736	8475.30474	6251.35067	8254.99656	8314.31917	12088.53418	8300.8597	6758.44623	6990.55926	5967.43319	7973.1267	6730.57873	9517.74665	7624.76181	5711.14887	6951.86745	6618.34051	7514.06161	6379.44422	7421.96387	6751.33674	6592.66658	6438.08672	7273.93183	6249.03211	7323.37023	6446.09888	8908.92458	8537.34102	8386.72617
4500	4800	7807.61357	6873.02853	6509.34981	4798.9781	7446.36897	8946.17588	5468.81098	5209.30797	5891.8114	5770.29414	7112.10649	7208.81079	5773.90667	5221.41883	5979.77514	6041.23055	5105.73258	7185.32655	6890.62451	7020.93112	7296.79472	10483.09766	7032.45092	7160.33489	6542.32462	6167.53256	5520.62756	7496.98152	7695.45182	5897.23377	4881.59121	7198.29021	6445.50275	6860.42396	6616.53046	7324.92432	5899.81445	6594.68164	5973.37812	6034.48645	5857.02693	7524.83664	7259.75874	7763.22315	7854.2115	7582.63946
4800	5100	6012.87886	4039.31559	5467.12809	6359.98809	7728.53471	6493.98711	5278.29018	4899.0014	5938.98047	5564.57587	5691.09859	5181.90768	6924.14963	4586.51248	5800.51633	6246.45167	4904.2482	5838.72643	3088.743	6971.13927	7157.97776	8313.12793	6434.99584	6510.47231	6055.30931	5012.8301	7030.16562	6383.46372	6099.00623	4977.17337	4071.30426	6979.68519	6381.6741	6186.46648	5091.60445	7838.44092	4502.78184	5929.73579	5301.2638	6316.35546	5579.75405	7310.61139	5897.95742	7514.0341	7627.10739	6440.90972
5100	5400	5746.57359	6049.71039	5032.76413	5566.22123	4537.41757	5520.24942	5465.3141	4744.64709	6216.46438	5337.93019	4451.04706	4728.66722	5216.59454	4339.00878	4937.06241	5021.30832	5173.89303	7106.4007	5543.2723	7073.03654	6497.51691	9564.4668	5749.19929	6361.01558	6115.52379	5231.06772	5890.71882	5379.42405	6358.3335	4309.60241	4588.06472	7320.36423	6304.25193	6079.92948	6289.57414	8001.80957	5400.69561	5308.16212	4640.10576	6866.5601	5059.22878	6492.90769	5594.40527	7566.24338	7394.64106	7283.60658
5400	5700	4920.02779	6029.14818	4999.90657	5024.58759	5216.70701	6031.58933	4136.65426	3847.56862	5775.71293	5074.21247	5695.03399	5051.16741	4200.17253	5410.5938	4465.35141	6959.48028	5401.82739	5778.09891	4824.48104	6004.5243	6533.99191	9889.05664	6886.97586	5355.49954	6171.87592	4816.33762	6167.08605	4135.63651	6591.47949	3834.77016	4951.15448	6344.07021	6111.33165	5957.22559	4774.83626	5359.06299	5825.45059	4863.61594	4086.31077	4536.6586	4836.73271	6022.83204	5021.45518	5869.80448	6766.25875	5425.43206
5700	6000	6503.16289	3722.6683	5448.75017	7401.47223	4229.97394	5218.4407	3685.00112	6077.16963	5338.63868	5178.13651	4664.23457	3193.85474	11651.09573	4627.42023	4623.39544	4477.13281	4623.56009	6342.42784	3081.93571	6037.2456	5610.43798	10067.61035	5593.5981	4408.53407	3970.93278	4703.19025	4688.55305	4791.95759	5503.4451	5851.71157	3975.08176	4401.70392	4259.74818	5642.42929	3877.70666	5760.54443	4676.41671	4725.30948	4943.8737	4876.81459	4414.98593	5266.18425	4482.11765	6647.58279	6342.8274	5823.0818
6000	6300	5576.12869	3631.93483	4614.45739	5152.0492	5608.94897	5419.91012	4923.93971	3636.56294	6069.28543	4693.65362	4354.30955	4275.20482	5694.93852	4311.91392	4931.79122	4172.67798	4652.49562	5280.005	4111.41048	6609.2524	6480.65879	7655.62695	6075.60494	4230.68	3712.67195	4714.8554	5429.81275	5156.64029	6601.24791	4684.63443	5318.11917	4617.90753	4392.57193	5521.93142	3297.47301	4483.42773	5735.46436	5036.54795	4162.03815	5907.24974	4646.58827	5621.83427	4169.7575	5928.64188	5379.04981	6846.12519
6300	6600	3701.37152	4186.65609	4770.72422	3434.2428	6087.37201	5398.91062	4154.81536	2923.27443	4340.17208	4083.99775	3618.39474	4011.57064	2955.46717	4694.29555	5033.77268	5698.53666	4964.26463	4048.13226	2978.66512	4891.97087	4841.44659	5189.37061	5293.28158	3434.83749	4833.9131	4294.57042	4010.34985	5413.36366	3099.52855	3512.24831	4285.08077	5622.55024	4170.16303	3610.69019	3927.97095	3606.84888	5032.48559	4012.06304	3267.99258	3554.24774	3849.62441	4770.05101	4191.73635	5267.55638	5997.83487	5244.30005
6600	6900	4200.76233	3817.30547	4074.48633	3672.40379	4060.40055	5071.63822	5470.35085	3569.59267	5421.72209	4991.27255	4635.98522	5184.91356	4527.96841	4271.39349	6084.42708	4367.47361	5137.71141	4532.19595	2806.09892	5453.25694	5123.36043	6610.01318	4857.44444	3817.39031	4464.3825	3483.68848	4263.3045	3275.74277	4179.84502	5132.94833	1938.78306	3738.1959	3739.52516	4196.53817	3716.8704	7314.99658	5115.75094	5041.48472	2842.9795	4597.79309	4429.03954	4794.50311	2958.45673	4857.25926	6184.67915	5829.58896
6900	7200	3781.66127	3940.41435	4931.85994	2706.48201	2674.56729	4827.25137	2301.45636	3195.28545	3551.27839	3836.79828	2698.21554	9291.89478	3670.64502	2244.76383	3583.37667	3469.93052	3518.98167	3608.74917	4224.88367	4294.20825	4747.52928	7827.09082	4584.88965	7033.81889	6059.25672	5942.68588	6773.74407	3739.25706	6478.65597	3459.88173	4190.86798	5172.67562	5561.743	5908.18322	7919.97754	3926.3042	3637.13412	5198.92006	5126.32236	4056.83712	4708.64108	5134.45438	5369.64197	3986.81452	4180.37553	4651.90534
