frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
480	600	25306.79	27603.22156	20003.69292	30237.4448	20227.56966	24048.989	20969.74332	21451.21861	31285.04076	25710.59124	24827.99301	22490.55735	23735.67821	29211.4711	23490.33369	24323.51178	20421.99004	26781.89268	28413.61285	29563.20395	29910.04795	28179.09616	24519.97388	28336.26509	23108.06758	29739.60014	18920.03653	22286.64001	21793.59947	20934.14273	31064.4811	26419.57383	24489.11713	22771.62663	33855.77734	23623.81429	29178.11226	23443.27664	24899.9106	22409.69114	24589.23823	28216.97578	27830.46242	29134.1037	18828.14062	25926.83304
600	900	21217.38935	22912.02984	17083.735	23706.26487	15678.32384	20943.93604	16531.02507	18271.26967	23598.15462	20026.80572	22029.93532	20091.84819	19552.62301	23110.36593	20393.21873	20853.72871	16731.51124	22895.3953	23602.72439	25051.86774	24569.04288	23805.49349	21157.24179	22253.54026	18819.35605	25056.08659	15437.37038	20186.74951	16783.80872	18208.82497	24477.36913	20566.62931	22024.92664	19420.58057	25940.23633	20094.15781	23570.56385	21277.30213	20414.57143	18235.02651	21822.25229	22956.21035	24064.07474	24204.0658	19527.32031	22886.27701
900	1200	16955.75435	18282.38748	12677.49512	19403.73784	12753.31136	16514.69529	12155.75462	13380.05232	17616.24567	14955.33059	17413.36822	16562.72505	16376.38215	17467.57056	15481.08408	14343.7847	12767.23638	18723.86848	18538.98937	19393.26721	19150.40925	19166.3828	17320.50283	18032.74353	13846.05508	19498.54109	12128.91202	16896.76388	12260.55088	13501.06258	18223.23156	15255.7075	16318.17828	16920.68986	18969.31836	15804.27926	18510.17437	16059.105	16271.98158	13872.54907	18982.29087	19226.08125	19809.9495	19112.19694	17165.60938	19168.60283
1200	1500	14498.71884	15353.07459	10097.5538	15172.69487	9307.06863	14844.06838	9338.95067	11223.69601	14274.5216	11738.18608	14252.73068	13570.95073	12771.33205	13665.59659	13370.22324	12778.86017	10710.86709	17079.1874	16229.92904	17125.59152	15705.75194	15167.80001	14648.18632	14620.69176	11833.93901	15608.0936	10466.35152	14706.57306	9961.63316	11210.22679	15353.45166	12433.2086	14462.24867	13069.57243	15322.93457	12745.94204	13774.35366	13467.79467	12882.4861	10789.36441	15535.90692	16407.66797	16625.06995	16040.12497	16411.81055	15746.17553
1500	1800	12520.22151	12605.01947	8759.64138	12599.8162	8795.43671	12681.0262	8120.41197	9680.11203	11902.66267	10472.48286	11656.05237	11534.65376	11060.94161	11576.24618	10896.20303	10317.3517	9042.62833	14256.44021	13298.09516	14244.76786	13222.26878	12974.34469	12563.52039	13630.9189	11163.34355	13064.02331	9665.03576	13441.88978	10178.90318	9757.09383	12962.01083	11062.99284	12548.93887	12039.38485	14287.9707	10814.44187	11868.68903	12577.0554	11619.78762	9799.24725	14487.61091	15227.86221	14112.49861	13875.92302	14936.57715	14024.41621
1800	2100	10835.62446	11964.25304	8198.80766	10716.1928	8707.52081	11777.72542	7401.10004	7992.77595	10397.92151	9073.93966	9614.41112	11154.3695	9912.97041	9520.05739	9459.49487	9245.45832	8123.17009	12613.3194	11791.51063	12985.80411	11795.1648	10777.12139	11846.74043	11643.85764	8545.96079	9802.8327	7138.89185	12205.9382	7086.7595	8095.03625	9882.36744	8826.75677	11696.40361	10577.43734	12533.02539	8535.12963	9864.05644	9627.91626	10139.20757	7918.10375	13382.10993	11805.86943	12531.97317	11098.19559	14111.87793	11779.72977
2100	2400	8781.18417	10941.87794	6835.52575	10203.60115	8013.66029	10365.96399	6589.527	7525.12211	9362.12175	8163.6639	8381.85219	10877.15545	8562.61205	8949.82049	9595.47477	8908.64733	7822.23012	11287.37387	12184.1582	11109.50721	10660.91377	10488.40994	9706.6143	10040.03717	7460.1936	10212.0421	7491.77428	10745.82507	7498.88267	7388.30871	9206.67346	8124.5682	10712.81412	9800.05306	9578.01367	8509.22875	9240.89457	9663.29251	9152.62321	7973.10735	11939.96526	10118.05479	11714.02685	10857.91036	13466.74512	10717.34895
2400	2700	8324.37756	8413.24113	5661.00564	7921.81426	5764.61941	9732.81127	5571.42027	7055.35069	7824.39069	6822.27252	9525.09321	7445.61399	7220.06021	7145.44315	8531.74972	7787.21885	6503.44487	9785.68779	8804.44808	9247.92418	8525.68958	8571.4685	7489.33948	8064.05762	6093.53213	8204.74363	5786.9043	8954.50325	6115.54342	5706.77682	8177.80616	7216.32151	7655.14252	7062.86251	8769.76367	7175.40205	7785.53938	7291.06638	8203.54444	6687.68641	9237.97932	8250.77476	9827.81106	9137.26756	11844.09766	9561.63509
2700	3000	8418.49226	8608.66229	5330.43153	6710.0048	6725.75675	8082.3852	5588.22902	5545.61356	6654.71171	5881.50863	6870.84913	7504.43923	6219.43943	6774.45824	7076.89942	6200.24302	5961.39174	9925.054	8393.81353	8454.49955	7756.27609	8459.50897	7404.98546	8165.90956	6491.10806	8038.9213	5259.6616	8858.25117	5402.20273	5426.8078	7502.75738	6240.81695	7237.46505	7629.45699	7779.84717	6224.23652	6898.8918	6844.0763	6949.03275	5743.3615	9204.98289	9150.7145	9922.02865	9237.21168	10572.91016	9599.71525
3000	3300	7241.2226	6954.65652	5470.62988	6612.48151	5146.14495	8363.78334	5413.35427	4928.55026	6241.75721	5735.4866	6628.26492	6228.29288	6086.7962	6313.81846	5964.23003	5950.56175	5429.21048	8111.91557	6151.81673	7633.26229	7518.44506	7940.39392	7335.30403	7272.21347	5573.92856	7267.54097	4415.81226	8497.76419	4621.94291	5172.44332	6480.8522	5875.74587	7215.10889	6689.92493	7449.74072	6704.32063	6654.85558	6540.746	6474.54812	5780.64056	7469.31207	7245.87979	7736.75888	7839.69786	10630.24707	8388.65309
3300	3600	5948.49815	5449.62654	4106.5496	5348.84892	4412.95813	7863.00477	3477.56462	4422.34476	5362.00876	4745.2973	5520.404	6311.15115	4778.38927	5362.94112	5395.7994	5995.60033	5080.23589	7263.62337	6208.90023	7417.79603	6222.88504	6726.50541	6265.69881	5305.86363	5558.05571	6404.2899	4728.44644	7201.40878	4487.40914	5689.91632	5865.39481	5250.23946	7984.78463	5555.36198	5656.75244	5254.34341	5934.73911	7039.01109	6194.4097	5306.42955	6875.85649	6440.43267	7095.1991	6794.24555	8185.28369	7535.6506
3600	3900	5832.69169	6033.36027	4764.62509	5445.09156	4670.40998	6921.23241	3883.42409	4701.87392	4882.26728	4895.66015	5819.28652	5523.13543	4314.91658	5413.27159	7507.38977	5212.93277	5214.35209	6609.24114	6538.97841	6735.31233	5935.77108	6915.43926	6546.92168	6068.70931	4473.79365	4912.49428	4215.4374	6526.23686	3885.05643	3836.47634	5268.19678	4687.6708	6561.77763	7339.61235	5101.0835	4501.43417	5902.30599	5341.25349	6152.89147	4579.54037	6652.4267	6262.69248	6543.04896	6037.39304	8245.00391	7457.95157
3900	4200	5178.9317	4809.30989	4192.17831	5021.07443	3496.72873	6309.00294	3180.97812	4710.41549	5524.12233	5164.68895	4779.39687	4894.64324	4752.28865	4722.81341	5650.38399	4598.76205	4951.6202	5333.70977	4607.04519	5646.2011	5068.11009	5611.44819	6222.32082	5310.11795	4881.44133	5082.55733	5055.60618	5617.01132	4329.10459	4973.63785	4547.66921	4863.65249	6901.70447	5248.05469	4000.99414	4916.63104	4476.51572	5127.52389	5819.66423	4090.51548	6280.55418	4662.24072	5679.18505	5621.78892	11199.26465	6408.56662
4200	4500	4455.25038	4256.21003	3541.06572	3781.92357	3027.82081	6227.80608	2405.0999	4468.11305	4707.62244	4440.75007	4979.85807	3955.00071	3787.85353	4775.13412	5578.67475	4067.81862	4274.86603	5321.14556	4067.05178	4996.0769	4489.20595	5334.02629	4782.87175	5683.46953	4544.76526	5449.009	4153.99026	6665.1092	4356.91629	4794.76638	4897.534	4770.6407	5910.40419	5900.27421	4495.16357	3937.46574	5258.56972	5555.39191	4227.14079	4625.45749	6065.69574	6551.05898	5412.76715	5270.40088	7650.09375	5916.55911
4500	4800	4338.18454	4280.85076	3565.68217	4976.47361	3388.76474	5348.96972	2673.04316	4210.74411	5227.3197	4668.71009	4153.81432	4060.01267	4159.80394	5511.72207	5248.82513	4624.49095	4926.09104	5481.34703	4517.32574	5702.70059	4913.15239	5053.18311	5270.62522	4835.57998	2956.07717	5197.95424	2761.29438	5342.10962	2968.95075	4782.94372	3994.10804	4033.94787	6959.6004	4044.53929	4477.97607	3445.33779	5698.11095	5442.16033	5363.09995	4638.91675	5451.74498	4994.85557	5708.44005	5390.49116	8098.45752	7142.86287
4800	5100	5194.77998	3907.15876	5341.86861	4523.14111	3270.99977	6139.25796	2117.89799	5401.96223	4233.95848	4343.07398	4415.53978	3442.83463	4634.35464	4853.60642	5124.90377	4340.63012	4944.50766	5779.74089	4535.67529	5084.97737	4502.85234	5030.4436	4586.6207	3895.71712	3428.18623	4371.50233	3921.5215	6556.82448	4227.92165	3603.92257	4844.50459	4006.09783	4465.15681	4001.64001	3974.98315	4279.16302	4170.46619	5018.13685	3680.58042	3900.30335	4086.77895	4186.88254	5026.34032	4981.2401	8424.37988	5510.57039
5100	5400	3469.29962	4437.29926	3119.02765	3304.32144	3168.18429	4991.60875	2950.11453	3743.11891	4072.73565	3410.75388	4688.17623	3289.68655	3518.10147	3781.33011	4394.79862	4490.15597	3284.86363	4758.92585	4170.97626	5491.55819	5399.30084	5847.46223	4136.64814	4209.02613	2662.49446	4810.76746	2603.95764	4885.29314	3458.64706	4438.24598	3877.49009	3112.68878	4541.201	3327.07928	3726.14819	3299.84321	4089.93418	5561.06179	3609.72809	3929.00893	5121.13479	4753.93533	4679.11389	4797.81008	5431.35742	5071.64141
5400	5700	4097.04029	6001.04856	2133.44684	3438.17547	3038.39317	3886.60513	2725.37763	4409.64015	4274.07452	3712.89703	4289.03626	5643.69016	3499.13261	2605.79839	4028.92539	2899.20607	3632.0795	5871.1035	5752.74349	5986.66551	5049.92363	4109.81187	3551.02423	3918.09419	3211.51265	4111.81638	2985.91922	4200.04842	3182.2723	3326.64102	4022.33897	3533.95496	2677.2035	3283.29258	4095.27393	2981.8861	4359.42461	3282.74921	3819.75763	3655.02928	4890.31903	3922.73896	4946.10438	4330.9063	7082.27637	5340.59706
5700	6000	5230.58404	5543.99739	4295.64644	3881.13952	2512.83148	4106.82082	2746.30804	4147.26845	4488.19552	4237.42983	4774.92832	4985.8924	3357.33639	3562.93826	4058.4387	3550.58884	3997.65891	6634.14007	6606.23725	5412.30369	3956.2886	4838.62658	3954.77589	3976.42295	2597.42877	4101.78021	2311.00338	4063.65649	2230.21868	2490.51069	2662.2754	2843.80116	4167.75406	4496.09532	3002.86182	3189.25669	3815.95564	3387.72665	3530.55862	3385.21407	4277.84972	5236.46348	4392.87966	4049.13682	5101.21484	5614.5858
6000	6300	3976.58937	3953.13853	3448.97987	3007.09134	2405.48115	3704.37777	3161.91823	4175.93103	3286.08642	3478.30857	3681.58609	2651.67058	4482.38361	3845.34304	5466.25235	2759.99287	4444.72006	4624.11045	4291.85124	4027.95507	3628.55252	3693.53379	4545.58539	3955.48178	3623.30115	3824.52491	2509.32966	4224.66737	2448.62441	3157.13486	4643.72093	3782.01225	4361.34856	2401.59534	5150.23877	4932.63715	3463.15708	4121.7203	3463.00352	3584.04221	4958.88897	4154.11541	4398.4137	4063.1136	5323.05908	3588.26147
6300	6600	5885.06636	5322.43995	3339.68187	4474.38118	3353.9145	5191.55222	1749.75194	3060.6075	4622.07654	4185.74486	6246.71508	2589.88472	3165.18627	3697.38458	4512.50558	2904.63915	4094.77732	5378.91175	5166.43484	5443.99888	4913.26149	5091.13151	4647.57835	4828.55251	5653.49438	4629.15939	4071.18322	5003.73394	3312.91601	2338.76932	5500.01368	5332.55973	2817.55372	2362.48442	7214.26904	2886.40311	3659.17664	4033.38345	3603.53508	3918.38757	3824.9196	3841.26947	4606.81995	4970.48748	2093.50562	4188.01918
6600	6900	6013.64417	4698.57646	3527.71016	2480.19133	3587.0676	2960.25906	2624.8748	3904.63156	3999.70741	3177.01802	2707.74359	4839.53265	2674.77786	4474.90517	3262.8957	4609.57622	3968.83256	4314.33342	3910.78139	3868.37162	3627.88079	4612.26181	5598.70828	5007.32425	4250.88164	5019.34122	2345.77092	3761.73963	1851.46446	3005.59866	2951.91248	3034.46726	3545.32533	4846.22229	3057.4126	4360.92416	2850.87008	2799.83796	2249.06443	3342.6832	3781.44822	3500.54832	3703.39019	3716.31266	3848.91333	4164.43197
6900	7200	2888.95973	3387.23267	7143.83356	4636.58092	2721.038	4186.65015	3362.37025	5096.37664	4425.42742	4311.78828	4581.26181	2332.84783	5288.77644	4817.07967	3887.2311	5612.35678	3722.26956	2750.21118	2920.98834	3296.37936	3818.60243	4532.15756	6120.49896	6193.55918	4500.36605	2098.92216	2440.97071	3685.49657	2370.82082	2502.89538	3317.76952	3123.21735	1724.77697	3820.51702	7040.85156	2630.07567	3231.96414	4164.18908	4351.25721	4833.77982	7340.11775	7359.08868	5510.23704	3371.29308	5580.13672	3257.57515
