frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
2400	2700	8972.09659	9740.18413	8973.93901	8356.55394	9009.32987	8202.16457	9949.34477	9332.79676	9573.65317	8778.53366	9522.84235	8513.23389	9536.86264	8697.35169	9217.41831	8717.58148	9436.04207	10569.92051	9829.03515	11465.67578	10471.53906	10309.72449	10227.41953	10980.10469	9013.24735
2700	3000	8692.95277	9257.13457	8718.10768	8218.51998	8298.68493	8255.11352	9084.58906	9428.40485	10376.8936	8693.97263	9592.1337	8415.86428	9508.88537	8599.44257	9210.43764	8881.31752	9408.20906	10584.41032	10754.05938	11167.64062	10987.51514	11079.57131	11224.96177	11165.67832	10066.20006
3000	3300	9464.28698	10324.7405	8162.37033	8184.37425	8112.72435	8205.82918	9913.66203	9551.71717	8722.6238	8688.97638	9371.15784	8410.76598	9559.37415	8747.56934	8706.26324	8855.59995	9081.50931	9433.86811	9641.23874	9884.26074	10240.34863	9971.01987	9874.39057	9117.08203	9594.14802
3300	3600	10547.39036	8309.47959	9027.38102	8920.16517	8721.18548	8679.55033	8699.77528	9247.54162	8376.99175	8487.14194	9029.95726	8136.50603	8861.05232	8276.10318	8914.19459	9001.28753	8958.20999	8242.48577	8369.31533	8264.43164	9664.61328	9156.96852	9493.38061	7834.57637	9392.51953
3600	3900	7978.73358	7190.09905	6787.53285	6881.29924	6682.74502	6494.34731	7353.48842	8118.18396	8055.34534	6621.57886	7280.23777	6223.58053	7201.45585	6368.97009	7097.86756	7340.82239	7206.67	9284.19134	7996.4922	10126.56543	10896.04492	9638.28009	9148.96971	9547.03652	6784.14132
3900	4200	7092.1523	8167.07124	7359.4328	6652.08067	7641.78608	6885.21368	7660.37815	8354.75476	7504.35066	7825.04398	7783.07282	7236.16185	7607.39427	7483.02945	7452.03636	7786.71582	7443.9563	7841.65943	8034.90029	8463.02344	8706.05225	8359.91294	8278.71696	8489.71797	7847.38616
4200	4500	6128.68612	7350.35066	6008.09022	5470.13085	5748.91375	5776.88785	6842.71085	6196.87881	8322.75779	6456.50266	8091.32717	6146.25507	7421.41722	6251.6063	6995.17931	6059.98127	7019.50232	6434.01814	6083.56685	6974.70361	8078.77637	6642.50647	6784.00995	7384.13203	5991.60345
4500	4800	7168.32861	7670.64548	6411.60391	6091.51631	7136.08369	5729.96796	7670.2701	7332.91078	6669.5907	5969.26947	6689.6522	5768.73556	6993.01084	6222.5708	6401.01203	6816.67093	6919.89019	6136.1259	6402.5203	6865.59619	7679.47314	7142.29871	7410.14466	8148.84082	5789.56794
4800	5100	7237.873	6293.62036	6452.90065	6384.44112	6566.55086	6917.66661	6883.28591	7568.3697	8371.28645	5971.43298	6935.84065	6091.90839	6734.67445	6223.94202	6661.96111	7159.68167	6957.51461	6257.90817	6471.25772	7189.27588	8009.84985	6688.974	6375.60738	4454.36343	7447.07743
5100	5400	6744.78968	7461.66597	5907.76451	6288.38557	6102.7078	6210.11954	7378.96297	7451.21832	7977.98489	6524.10498	7557.22732	6489.3698	6897.44002	6735.16536	6421.90299	6707.55716	6898.89611	7488.07172	7910.87603	8153.78564	9091.75098	8093.50067	7510.57002	7112.07773	7401.29513
